"volid","dateused","pubdate","birthdate","firstpub","gender","nation","allwords","logistic","realclass","trainflag","author","title","title","genretags"
"mdp.39015059414741",1923,1923,0,1923,"m","uk",33.1531672267,0.4595915275,0,1,"McKenna, Stephen","Vindication; | a novel, | $c: by Stephen McKenna.","vulgar",
"mdp.39015059415789",1907,1907,0,1907,"m","us",30.6652026661,0.3190876801,0,1,"Nicholson, Meredith","The port of missing men","vulgar",
"mdp.39015059447527",1913,1913,0,1913,"m","us",29.0215223864,0.4052905001,0,1,"Comfort, Will Levington","The road of living men;","vulgar",
"mdp.39015059502669",1895,1895,0,1895,"m","us",30.7264769109,0.4819102783,0,1,"Read, Opie Percival","My young master;","vulgar",
"mdp.39015061863992",1887,1887,0,1887,"f","us",34.4625494989,0.562925562,0,1,"Holley, Marietta","Samantha at Saratoga","vulgar",
"mdp.39015063511946",1909,1909,0,1909,"f","us",31.7698387636,0.4209004876,0,1,"Dejeans, Elizabeth","The winning chance","vulgar",
"mdp.39015063516614",1851,1851,0,1851,"m","uk",34.5528348755,0.6472575203,1,1,"Borrow, George Henry","Lavengro;","elite",
"mdp.39015063541273",1895,1895,0,1895,"f","us",25.9930347987,0.2246885443,0,1,"Burnham, Clara Louise","The wise woman","vulgar",
"mdp.39015063543840",1923,1923,0,1923,"f","uk",31.4512439732,0.458253114,0,1,"Broster, Dorothy Kathleen","The wounded name, | $c: by D. K. Broster.","vulgar",
"mdp.39015063545472",1924,1924,0,1924,"f","us",30.0756668434,0.5148729768,0,1,"Cross, Ruth","The golden cocoon; | a novel, | $c: by Ruth Cross.","vulgar",
"mdp.39015063547288",1928,1928,0,1928,"m","uk",26.8270494767,0.1242360739,1,1,"Freeman Wills Crofts","The Sea Mystery, an Inspector French Case","elite",
"mdp.39015063547809",1895,1895,0,1895,"f","us",28.6357618497,0.7310369118,1,1,"Hobbes, John Oliver","The gods, some mortals and Lord Wickenham","elite",
"mdp.39015063550894",1926,1926,0,1926,"m","us",26.9362121757,0.3456747458,0,1,"Grey, Zane","Under the Tonto Rim, | $c: by Zane Grey.","vulgar",
"mdp.39015063551504",1898,1898,0,1898,"m","uk",33.5135481629,0.6293046807,1,1,"Crockett, S. R","The red axe","elite",
"mdp.39015063551512",1925,1925,0,1925,"m","us",28.9049080241,0.3783187992,0,1,"Gray, Charles Wright","Dawgs! | an anthology of stories about them, | $c: edited by Charles Wright Gray.","vulgar",
"mdp.39015063602521",1893,1893,0,1893,"m","us",33.4718114062,0.5844322751,0,1,"Wallace, Lew","The prince of India, or, Why Constantinople fell","vulgar",
"mdp.39015063617248",1937,1937,0,1937,"m","us",25.1967110063,0.3069917304,0,1,"[Kagey, Rudolf]","Murder in G-sharp, | $c: by Kurt Steel [pseud.]","vulgar",
"mdp.39015063739802",1919,1919,0,1919,"f","us",27.0417594596,0.5032608148,0,1,"Andrews, Mary Raymond Shipman","Joy in the morning","vulgar",
"mdp.39015063740214",1933,1933,0,1933,"f","us",27.1387777273,0.3392033398,0,1,"Aldrich, Bess Streeter","Miss Bishop | $c: [by] Bess Streeter Aldrich.","vulgar",
"mdp.39015063747904",1890,1890,0,1890,,,33.7482128575,0.5004667063,0,1,"Wood, H. F","The night of the 3d ult","vulgar",
"mdp.39015063753530",1894,1894,0,1894,"f","us",27.5041959654,0.3364190017,0,1,"Atherton, Gertrude Franklin Horn","Before the Gringo came","vulgar",
"mdp.39015063761202",1876,1876,0,1876,"m","uk",32.0370811544,0.6893936584,1,1,"Black, William","Madcap Violet","elite",
"mdp.39015063761210",1876,1876,0,1876,"m","uk",33.8469058675,0.6402059452,1,1,"Black, William","Madcap Violet","elite",
"mdp.39015063761228",1876,1876,0,1876,"m","uk",32.2264252982,0.719331748,1,1,"Black, William","Madcap Violet","elite",
"mdp.39015063916590",1934,1934,0,1934,"f","us",26.2380425444,0.2414566386,0,1,"Ford, Leslie","Mr. Pinkerton goes to Scotland Yard, | $c: by David Frome [pseud.] illustrated by Edward Calman.","vulgar",
"mdp.39015063918257",1924,1924,0,1924,"m","uk",31.8524973606,0.5232752782,0,1,"Fletcher, J. S. (Joseph Smith)","The mill of many windows, | $c: by J. S. Fletcher.","vulgar",
"mdp.39015063918554",1925,1925,0,1925,"f","us",29.026609971,0.2832186502,0,1,"Eiker, Mathilde","Mrs. Mason's daughters, | $c: by Mathilde Eiker.","vulgar",
"mdp.39015063919248",1902,1902,0,1902,"m","us",27.2516570413,0.5900579152,1,1,"Harland, Henry","The lady paramount","elite",
"mdp.39015063921038",1944,1944,0,1944,"f","us",28.3376456151,0.1341036144,0,1,"Knight, Kathleen Moore","Design in diamonds, | a Margot Blair mystery.","vulgar",
"mdp.39015063938164",1900,1900,0,1900,"m","us",29.5316191002,0.2533316777,0,1,"Matthews, Brander","The action and the word;","vulgar",
"mdp.39015063939782",1903,1903,0,1903,"m","us",30.2089071353,0.3879567476,1,1,"Loomis, Charles Battell","Cheerful Americans","elite",
"mdp.39015063946241",1903,1903,0,1903,"m","us",28.3176528482,0.3608676666,1,1,"Page, Thomas Nelson","Gordon Keith","elite",
"mdp.39015063949526",1928,1928,0,1928,"f","uk",36.9441475742,0.802852167,1,1,"Elinor Mordaunt","Too Much Java","elite",
"mdp.39015063959657",1914,1914,0,1914,"m","uk",32.8271706254,0.7898158423,1,1,"Walpole, Hugh","The Duchess of Wrexe, her decline and death;","elite",
"mdp.39015063959897",1903,1903,0,1903,"f","us",32.8627667752,0.4467102824,1,1,"Seawell, Molly Elliot","The fortunes of Fifi","elite",
"mdp.39015063961315",1879,1879,0,1879,"f","us",28.4388949805,0.7877026814,1,1,"[Sprague, Mary Aplin]","An earnest trifler","elite",
"mdp.39015063963139",1901,1901,0,1901,"f","uk",28.5862164289,0.6370348525,1,1,"Voynich, E. L","Jack Raymond","elite",
"mdp.39015063963345",1923,1923,0,1923,"m","us",42.7130834522,0.2152925459,0,1,"Van Santvoord, Seymour","Octavia; | a tale of ancient Rome, | $c: by Seymour Van Santvoord.","vulgar",
"mdp.39015063975869",1923,1923,0,1923,"f","us",27.2182022424,0.5733890536,1,1,"Winslow, Thyra Samter","Picture Frames","elite",
"mdp.39015063977600",1930,1930,0,1930,"f","uk",28.118638172,0.2292624618,0,1,"Pedler, Margaret (Bass) Mrs","Fire of youth, | $c: by Margaret Pedler.","vulgar",
"mdp.39015064466108",1851,1851,0,1851,"m","uk",33.5173965948,0.6060575124,1,1,"Borrow, George Henry","Lavengro;","elite",
"mdp.39015064466116",1851,1851,0,1851,"m","uk",33.5410869867,0.5843724104,1,1,"Borrow, George Henry","Lavengro;","elite",
"mdp.39015065391388",1946,1946,0,1946,"m","hu",32.6613014982,0.6223146237,1,1,"Koestler, Arthur","Thieves in the Night","elite",
"mdp.39015065447487",1930,1930,0,1930,"m","us",27.0720465427,0.1575643146,0,1,"Martin, Stuart","The trial of Scotland yard, | $c: by Stuart Martin.","vulgar",
"mdp.39015065549779",1887,1887,0,1887,"m","us",30.0827481992,0.4945024163,0,1,"Saltus, Edgar","Mr. Incoul's misadventure","vulgar",
"mdp.39015065957253",1879,1879,0,1879,"f","uk",33.9067562224,0.5793851239,0,1,"Yonge, Charlotte M","Magnum bonum, or Mother Carey's brood","vulgar",
"mdp.39015066052054",1923,1923,0,1923,"m","us",28.4516095158,0.6285442844,1,1,"Dell, Floyd","Janet March","elite",
"mdp.39015066052146",1943,1943,0,1943,"m","us",26.7117268367,0.5883736217,1,1,"Cheever, John","The Way Some People Live","elite",
"mdp.39015066053144",1931,1931,0,1931,"m","uk",31.722699688,0.8224508251,0,1,"Baron, Dunsany, Edward John Moreton Drax Plunkett","The travel tales of Mr. Joseph Jorkens,","vulgar",
"mdp.39015066053193",1923,1923,0,1923,"m","us",29.0311763665,0.9410128465,1,1,"Anderson, Sherwood","Many Marriages","elite",
"mdp.39015066054266",1928,1928,0,1928,"m","uk",26.5840545611,0.7466617878,1,1,"Forster, E.M","The Eternal Moment","elite",
"mdp.39015066057277",1939,1939,0,1939,"f","us",31.1263919468,0.6842576793,0,1,"Herbst, Josephine","Rope of gold, | $c: by Josephine Herbst.","vulgar",
"mdp.39015066059935",1941,1941,0,1941,"f","us",26.9979971771,0.8462023429,1,1,"Stein, Gertrude","Ida","elite",
"mdp.39015066068613",1907,1907,0,1907,"m","uk",27.6616572725,0.7951016568,1,1,"Conrad, Joseph","The secret agent;","elite",
"mdp.39015066650469",1933,1933,0,1933,"m","us",27.3857365872,0.6423046889,1,1,"Cozzens, James Gould","The Last Adam","elite",
"mdp.39015066681480",1945,1945,0,1945,"m","uk",26.8473246257,0.7340681902,1,1,"Pritchett, V.S","It May Never Happen","elite",
"mdp.39015069171505",1865,1865,0,1865,"m","uk",31.1987633663,0.1459662992,0,1,"Couperthwaite, S. L","Resolution, or, The depth of woman's love","vulgar",
"mdp.39015071596954",1927,1927,0,1927,"m","us",23.2326231663,0.663314891,0,1,"Detzer, Karl","The marked man : | a romance of the Great Lakes / | $c: by Karl W. Detzer ...","vulgar",
"mdp.39015071597630",1936,1936,0,1936,"m","us",30.6907768915,0.3107032434,0,1,"(Lloyd Cassel), Douglas, Lloyd C","White banners | $c: [by] Lloyd C. Douglas.","vulgar",
"mdp.39015073390521",1902,1902,0,1902,"m","us",26.6382868468,0.4643100628,1,1,"Linn, James Weber","The second generation","elite",
"mdp.39015073390984",1928,1928,0,1928,"m","us",37.6624800168,0.5172092821,1,1,"Sinclair, Upton","Boston","elite",
"mdp.39015073479282",1890,1890,0,1890,"m","uk",39.796410959,0.2455508139,0,1,"Henty, G. A","St. George for England","vulgar",
"mdp.39015078546390",1898,1898,0,1898,,,36.224257959,0.687052186,0,1,"anonymous5","Grien on Rougemont;","vulgar",
"mdp.39076002720196",1945,1945,0,1945,"f","us",26.386902483,0.0994587511,0,1,"Stone, Caroline R","Clorinda of Cherry lane farm / | $c: by Caroline R. Stone.","vulgar",
"mdp.49015000915109",1907,1907,0,1907,"m","uk",27.1372434582,0.650655588,1,1,"Bennett, Arnold","The grim smile of the Five Towns","elite",
"mdp.49015000979592",1911,1911,0,1911,"m","uk",31.4906598197,0.8103532936,1,1,"Galsworthy, John","The patrician","elite",
"mdp.49015000988411",1935,1935,0,1935,"m","us",29.7453245491,0.4152273272,0,1,"Howard, Robert E","Conan the conqueror","vulgar",
"mdp.49015001000182",1934,1934,0,1934,"f","uk",27.4127672755,0.7578069967,1,1,"Rhys, Jean","Voyage in the Dark","elite",
"mdp.49015002676170",1871,1871,0,1871,"m","us",26.5755390647,0.1083131456,0,1,"Alger, Horatio","Paul the peddler","vulgar",
"miun.aat2524,0001,001",1929,1929,0,1929,"m","us",23.5286682581,0.500016623,1,1,"Larsen, Nella","Passing","elite",
"miun.acb4809,0001,001",1927,1927,0,1927,"m","uk",24.8284084596,0.7369628581,0,1,"Deeping, Warwick","Kitty, / | $c: by Warwick Deeping.","vulgar",
"nc01.ark+=13960=t05x2rh1q",1880,1880,0,1880,"f","us",34.7123145041,0.6449432209,0,1,"Goff, H. N. K","Other fools and their doings","vulgar",
"nc01.ark+=13960=t1gh9wn1r",1870,1870,0,1870,"f","us",35.414653667,0.3810715789,0,1,"Chaplin, Jane Dunbar","Out of the wilderness","vulgar",
"nc01.ark+=13960=t3mw2v80v",1867,1867,0,1867,"m","us",31.2793215591,0.5393603889,1,1,"De Forest, John William","Miss Ravenel's conversion from secession to loyalty","elite",
"nc01.ark+=13960=t5r78z14d",1887,1887,0,1887,"f","us",35.8476048019,0.6366965434,1,1,"Baylor, Frances Courtenay","Behind the Blue Ridge","elite",
"nc01.ark+=13960=t6252110d",1866,1866,0,1866,"m","us",28.88360113,0.2002589994,0,1,"Optic, Oliver","The Yankee middy","vulgar",
"nc01.ark+=13960=t6b28c502",1880,1880,0,1880,"m","us",33.6657052974,0.4314250793,1,1,"Tourgée, Albion Winegar","Bricks without straw","elite",
"nc01.ark+=13960=t6m04wk2w",1899,1899,0,1899,"m","us",25.6592256383,0.2112193905,0,1,"Banks, Charles Eugene","In Hampton Roads;","vulgar",
"nc01.ark+=13960=t74t73k55",1879,1879,0,1879,"m","us",33.0177233023,0.2162729644,1,1,"Tourgée, Albion Winegar","Figs and thistles","elite",
"nc01.ark+=13960=t8mc9bp1c",1871,1871,0,1871,"m","us",31.1829017467,0.4347025531,1,1,"De Forest, John William","Overland","elite",
"nc01.ark+=13960=t8z89qp4f",1866,1866,0,1866,"f","uk",36.2418686029,0.2114969894,0,1,"McLeod, Isabella","Westfield","vulgar",
"njp.32101007613167",1861,1861,0,1861,"f","uk",30.732074288,0.4281965904,0,1,"Blagden, Isa","Agnes Tremorne","vulgar",
"njp.32101035036068",1865,1865,0,1865,,"us",41.3704406663,0.1123932489,0,1,"Ritner, W. D","Juan, the white slave;","vulgar",
"njp.32101038161400",1900,1900,0,1900,"m","uk",32.7264425429,0.7611385911,1,1,"Morrison, Arthur","Cunning Murrell","elite",
"njp.32101042000354",1853,1853,0,1853,"m","us",38.794457363,0.3754518782,0,1,"Irving, John Treat","Harry Harson, or, The benevolent bachelor","vulgar",
"njp.32101042563039",1880,1880,0,1880,"m","us",32.1514484382,0.4174343015,1,1,"Bellamy, Edward","--Dr. Heidenhoff's process","elite",
"njp.32101062935901",1882,1882,0,1882,"f","us",34.3458472674,0.1006590142,0,1,"Evans, Augusta J","Inez: a tale of the Alamo","vulgar",
"njp.32101063580268",1886,1886,0,1886,"m","uk",36.4351721207,0.2924656581,1,1,"Hume, Fergus","The mystery of a hansom cab","elite",
"njp.32101063580995",1903,1903,0,1903,"m","us",30.1675984959,0.1458968687,0,1,"Isham, Frederick Stewart","Under the rose","vulgar",
"njp.32101063581076",1908,1908,0,1908,"m","uk",27.4260827766,0.2720432617,0,1,"Jacobs, W. W","Salthaven","vulgar",
"njp.32101063581712",1909,1909,0,1909,"m","us",30.3926677271,0.6804692035,0,1,"King, Basil","The inner shrine","vulgar",
"njp.32101063607269",1880,1880,0,1880,"f","uk",30.9918120758,0.3487743097,0,1,"Marryat, Florence","Fighting the air","vulgar",
"njp.32101064632746",1869,1869,0,1869,"m","us",30.2862985177,0.577224252,0,1,"Sikes, Wirt","One poor girl","vulgar",
"njp.32101064715665",1851,1851,0,1851,"f","us",36.0530231918,0.2125574966,0,1,"Southworth, Emma Dorothy Eliza Nevitte","Shannodale","vulgar",
"njp.32101064918103",1884,1884,0,1884,"f","uk",36.2592036581,0.4145905294,0,1,"Cooper, Katherine","Gideon's rock","vulgar",
"njp.32101065600601",1873,1873,0,1873,"f","us",37.9175243747,0.1622483968,0,1,"Whittlesey, Elsie Leigh","The hemlock swamp","vulgar",
"njp.32101065701169",1896,1896,0,1896,,,33.7316229434,0.253432464,0,1,"Poole, Mary Belle","Down fate's walk;","vulgar",
"njp.32101065841254",1869,1869,0,1869,"m","us",34.4976173569,0.6591567407,1,1,"Scudder, Horace Elisha","Stories from my attic","elite",
"njp.32101065845917",1896,1896,0,1896,"m","uk",32.9987709975,0.6545293919,1,1,"Munro, Neil","The lost Pibroch","elite",
"njp.32101065847475",1884,1884,0,1884,"f","us",31.9905704155,0.6920227349,1,1,"Murfree, Mary Noailles","Where the battle was fought","elite",
"njp.32101065848226",1889,1889,0,1889,"m","uk",32.5605861562,0.5351775209,0,1,"Murray, David Christie","Schwartz","vulgar",
"njp.32101065848267",1871,1871,0,1871,"m","uk",36.1845825939,0.6515533681,0,1,"Murray, Eustace Clare Grenville","The member for Paris","vulgar",
"njp.32101066107804",1879,1879,0,1879,"m","uk",31.1779876526,0.3258291563,1,1,"O'Reilly, John Boyle","Moondyne: a story from the underworld","elite",
"njp.32101066457811",1903,1903,0,1903,"f","us",29.4625711752,0.6000729873,1,1,"Converse, Florence","Long Will","elite",
"njp.32101066457969",1874,1874,0,1874,"m","us",32.8039803457,0.3628072463,1,1,"Cooke, John Esten","Pretty Mrs. Gaston","elite",
"njp.32101066458074",1923,1923,0,1923,"m","uk",31.5349732153,0.6625054663,0,1,"Coppard, A. E. (Alfred Edgar)","The black dog, | and other stories / | $c: by A.E. Coppard.","vulgar",
"njp.32101066458629",1898,1898,0,1898,"m","us",30.819633791,0.1332940569,0,1,"Ellis, Edward Sylvester","Cowmen and rustlers","vulgar",
"njp.32101066458975",1886,1886,0,1886,"m","uk",27.7503096274,0.1821442848,0,1,"Gibbon, Charles","Clare of Claresmede","vulgar",
"njp.32101066459908",1880,1880,0,1880,"m","us",34.3619523284,0.2923257443,0,1,"Goulding, F. R","Adventures among the Indians","vulgar",
"njp.32101066696376",1866,1866,0,1866,,,39.2302197842,0.0866971851,0,1,"[Anderson, I. H.]","Patriotism at home;","vulgar",
"njp.32101066919174",1889,1889,0,1889,"f","austrian",32.2367127407,0.4594478647,0,1,"Schubin, Ossip","Erlach court","vulgar",
"njp.32101067632198",1885,1885,0,1885,"f","uk",34.4084720707,0.8182331924,1,1,"Ouida","Othmar","elite",
"njp.32101067632636",1885,1885,0,1885,"f","uk",33.9436716025,0.8082274615,1,1,"Ouida","Othmar","elite",
"njp.32101067632644",1885,1885,0,1885,"f","uk",34.9527531897,0.7550792589,1,1,"Ouida","Othmar","elite",
"njp.32101067633253",1884,1884,0,1884,"f","uk",27.6976462103,0.4299760208,0,1,"Diehl, Alice M","The knave of hearts","vulgar",
"njp.32101067634236",1855,1855,0,1855,"m","uk",30.2961171473,0.7852457083,1,1,"Hannay, James","Eustace Conyers;","elite",
"njp.32101067634244",1855,1855,0,1855,"m","uk",29.8324503396,0.8261124304,1,1,"Hannay, James","Eustace Conyers;","elite",
"njp.32101067634251",1855,1855,0,1855,"m","uk",30.1622136247,0.7126579574,1,1,"Hannay, James","Eustace Conyers;","elite",
"njp.32101067634343",1854,1854,0,1854,"m","uk",40.6848155775,0.6560214433,0,1,"Hamley, Edward Bruce","Lady Lee's widowhood","vulgar",
"njp.32101067634459",1878,1878,0,1878,"m","uk",36.0075992014,0.5903148014,1,1,"Hamerton, Philip Gilbert","Marmorne","elite",
"njp.32101067643351",1872,1872,0,1872,"f","us",37.459365263,0.1201295622,0,1,"Estvan, Mathilde","Harry Delaware","vulgar",
"njp.32101067644789",1873,1873,0,1873,"m","uk",40.2417648493,0.381246528,0,1,"Fogerty, J","Lauterdale","vulgar",
"njp.32101067646404",1864,1864,0,1864,"f","us",41.5755922163,0.1821143171,0,1,"Holmes, Mary Jane","Darkness and daylight","vulgar",
"njp.32101067647303",1885,1885,0,1885,"f","uk",34.5649416987,0.4248648217,0,1,"Warden, Florence","A prince of darkness","vulgar",
"njp.32101067707461",1921,1921,0,1921,"m","uk",29.1458902922,0.6290987267,1,1,"Algernon Blackwood","The Bright Messenger","elite",
"njp.32101067707925",1870,1870,0,1870,"m","us",39.5248888223,0.4584099792,1,1,"Benedict, Frank Lee","Miss Van Kortland","elite",
"njp.32101068152857",1874,1874,0,1874,"m","uk",33.4140917804,0.5424419544,1,1,"Hardy, Thomas","Desperate remedies","elite",
"njp.32101068152931",1886,1886,0,1886,"m","uk",41.3271040227,0.5557118286,1,1,"Haggard, H. Rider","She","elite",
"njp.32101068166022",1856,1856,0,1856,"f","uk",43.1240498178,0.4061535179,0,1,"Chatterton, Georgiana","Compensation","vulgar",
"njp.32101068166055",1876,1876,0,1876,"f","uk",37.3644271239,0.3050421147,0,1,"Charlesworth, Maria Louisa","Oliver of the mill","vulgar",
"njp.32101068166162",1886,1886,0,1886,,,29.8740472678,0.4706895646,0,1,"Chetwynd, Henry Wayland","Sara","vulgar",
"njp.32101068167889",1867,1867,0,1867,"m","us",37.2937803927,0.0896978981,0,1,"Castlemon, Harry","Frank on the lower Mississippi","vulgar",
"njp.32101068168424",1853,1853,0,1853,"f","uk",39.1039035376,0.3237467772,1,1,"Crosland, Newton","Stray leaves from shady places","elite",
"njp.32101068168903",1880,1880,0,1880,"f","uk",31.4558244807,0.5054509702,1,1,"Fothergill, Jessie","The wellfields","elite",
"njp.32101068168911",1880,1880,0,1880,"f","uk",32.2949275138,0.5292592789,1,1,"Fothergill, Jessie","The wellfields","elite",
"njp.32101068168929",1880,1880,0,1880,"f","uk",32.3060234826,0.6453750505,1,1,"Fothergill, Jessie","The wellfields","elite",
"njp.32101068169497",1882,1882,0,1882,"f","uk",31.4194091364,0.662954211,1,1,"Gerard, E","Beggar my neighbor","elite",
"njp.32101068169505",1882,1882,0,1882,"f","uk",32.7691829301,0.6039320841,1,1,"Gerard, E","Beggar my neighbor","elite",
"njp.32101068169513",1882,1882,0,1882,"f","uk",31.8317307795,0.6615496417,1,1,"Gerard, E","Beggar my neighbor","elite",
"njp.32101068175031",1856,1856,0,1856,"f","uk",31.6993595461,0.593434281,0,1,"Tindal, Henrietta Euphemia","The heirs of Blackridge Manor","vulgar",
"njp.32101068175080",1876,1876,0,1876,"m","us",39.9587652872,0.452250394,0,1,"Butler, William Allen","Mrs. Limber's raffle, or, A church fair and its victims","vulgar",
"njp.32101068176260",1854,1854,0,1854,"f","uk",43.5840915228,0.5728846381,0,1,"Cartwright, Robert","Ambrose the sculptor","vulgar",
"njp.32101068176658",1879,1879,0,1879,"f","us",31.1895201074,0.5063538247,1,1,"Douglas, Amanda Minnie","Hope mills;","elite",
"njp.32101068178340",1881,1881,0,1881,"m","uk",39.3960613941,0.2127559145,0,1,"Henty, G. A","The cornet of horse","vulgar",
"njp.32101068178878",1883,1883,0,1883,"m","uk",31.7244822671,0.5498835452,0,1,"Hatton, Joseph","A modern Ulysses","vulgar",
"njp.32101068179041",1874,1874,0,1874,"m","uk",37.2681656099,0.4860778352,0,1,"Harwood, John Berwick","Lady Livingston's legacy","vulgar",
"njp.32101068971918",1862,1862,0,1862,"m","uk",34.0131931356,0.6531314571,1,1,"Kingsley, Henry","Ravenshoe","elite",
"njp.32101068972775",1869,1869,0,1869,"m","uk",39.3196927391,0.5135764917,1,1,"Lawrence, George A","Anteros","elite",
"njp.32101069165684",1871,1871,0,1871,"m","us",41.9053117269,0.494105857,0,1,"Edwards, C. R","A story of Niagara","vulgar",
"njp.32101071958951",1920,1920,0,1920,"m","ru",31.841925792,0.8713736791,1,1,"Chekhov, Anton","The Chorus Girl and Other Stories ","elite",
"njp.32101073395038",1860,1860,0,1860,"f","uk",32.0504696659,0.3659638772,0,1,"Kavanagh, Julia","Seven years, and other tales","vulgar",
"njp.32101074760370",1854,1854,0,1854,"m","us",35.4259744694,0.3889396398,0,1,"Engles, William M","The youth's casket","vulgar",
"njp.32101074871284",1892,1892,0,1892,"m","us",29.4345069246,0.1345469519,0,1,"Linthicum, Richard","A book of Rocky Mountain tales","vulgar",
"njp.32101079670517",1880,1880,0,1880,"m","us",30.9600338113,0.8139359636,1,1,"James, Henry","The portrait of a lady","elite",
"nnc1.1000026913",1863,1863,0,1863,"f","us",39.6313397939,0.2015695693,0,1,"Hoffman, Mary J","Agnes Hilton: or, Practical views of Catholicity","vulgar",
"nnc1.1002208741",1879,1879,0,1879,"f","us",31.5079336404,0.5933108306,0,1,"Perry, Alice","More ways than one","vulgar",
"nnc1.1002295628",1860,1860,0,1860,"m","us",30.1051008467,0.2144472171,1,1,"Trowbridge, J. T","The old battle-ground","elite",
"nnc1.cr60162589",1872,1872,0,1872,"f","uk",41.7151661648,0.3174151249,0,1,"Paull, M. A","My parish and what happened in it / Mary Anna (Paull) Ripley","vulgar",
"nnc1.cr61143707",1912,1912,0,1912,"m","us",31.7287812042,0.2828940884,1,1,"Davis, William Stearns","The friar of Wittenberg","elite",
"nnc1.cu53417658",1863,1863,0,1863,"m","french",33.3511138877,0.642424459,0,1,"Erckmann, Emile","Madame Thérèse","vulgar",
"nnc1.cu55529143",1870,1870,0,1870,"m","us",47.4425464998,0.1941648205,0,1,"Bradford, O. K","Mystery explained; or, Additional evidence","vulgar",
"nnc1.cu58327010",1879,1879,0,1879,"m","uk",39.1712036251,0.2219430432,0,1,"O'Reilly, Bernard","The two brides","vulgar",
"nnc1.cu58507493",1880,1880,0,1880,"m","uk",35.0959982323,0.7057609646,0,1,"Sala, George Augustus","Quite alone;","vulgar",
"nyp.33433000665822",1853,1853,0,1853,"m","uk",36.9172410758,0.6610038658,1,1,"St. John, James Augustus","There and back again in search of beauty","elite",
"nyp.33433000665830",1853,1853,0,1853,"m","uk",37.6103729429,0.6759876272,1,1,"St. John, James Augustus","There and back again in search of beauty","elite",
"nyp.33433008143475",1870,1870,0,1870,"f","uk",35.8625209043,0.6227787447,0,1,"Stretton, Hesba","Nelly's dark days","vulgar",
"nyp.33433018442024",1879,1879,0,1879,"m","uk",31.0196655139,0.395859664,0,1,"Garvice, Charles","The story of a passion","vulgar",
"nyp.33433022469757",1903,1903,0,1903,,,35.9609247383,0.6910450524,1,1,"Roseboro', Viola","The joyous heart","elite",
"nyp.33433034394472",1871,1871,0,1871,"f","us",17.3416958291,0.6476880241,1,1,"Ward, Elizabeth Stuart Phelps","The gates ajar; or, A glimpse into heaven","elite",
"nyp.33433034410054",1880,1880,0,1880,"f","uk",52.4759404155,0.3664345822,0,1,"Carey, Rosa Nouchette","Nellie's memories;","vulgar",
"nyp.33433034410518",1872,1872,0,1872,"f","uk",36.2872031231,0.6326502702,1,1,"Edwards, Annie","Ought we to visit her?","elite",
"nyp.33433043076763",1922,1922,0,1922,"f","uk",32.032245417,0.7099584963,0,1,"Bottome, Phyllis","The kingfisher","vulgar",
"nyp.33433074793427",1856,1856,0,1856,"f","us",41.9814663363,0.5046285177,0,1,"Yale, Catharine Brooks","Abbie Nott, and other knots","vulgar",
"nyp.33433074795042",1920,1920,0,1920,"m","us",27.3802635667,0.414688062,0,1,"Wood, Clement","Mountain","vulgar",
"nyp.33433074795083",1862,1862,0,1862,"m","us",31.8985844033,0.1993700229,0,1,"Wood, Benjamin","Fort Lafayette;","vulgar",
"nyp.33433074795125",1902,1902,0,1902,"m","us",27.6520776131,0.666601079,1,1,"Wister, Owen","The Virginian","elite",
"nyp.33433074795331",1883,1883,0,1883,"f","us",32.4651675859,0.4491317583,1,1,"Woolson, Constance Fenimore","For the major","elite",
"nyp.33433074797519",1903,1903,0,1903,"m","us",29.9316553779,0.3528224745,0,1,"Brady, Cyrus Townsend","The bishop;","vulgar",
"nyp.33433074800677",1922,1922,0,1922,"f","us",26.32813025,0.5952084918,0,1,"Barnett, Ada","The man on the other side","vulgar",
"nyp.33433074807748",1919,1919,0,1919,"m","us",25.9664703498,0.2432824865,0,1,"Brand, Max","The untamed","vulgar",
"nyp.33433074808670",1871,1871,0,1871,,,37.2761258643,0.2804812363,0,1,"Brotherhead, Alfred P[axton]","Himself his worst enemy","vulgar",
"nyp.33433074815576",1913,1913,0,1913,"m","us",26.5066521092,0.3984535929,1,1,"Bullard, Arthur","Comrade Yetta","elite",
"nyp.33433074817366",1922,1922,0,1922,"m","us",29.3163195953,0.354097531,0,1,"Crawford, Jack Randall","I walked in Arden","vulgar",
"nyp.33433074823026",1921,1921,0,1921,"m","us",26.9106540055,0.3599119813,0,1,"Bardeen, C. W. (Charles William)","Castiron Culver","vulgar",
"nyp.33433074828116",1921,1921,0,1921,"f","us",27.1809154557,0.2779399877,0,1,"Baskerville, Beatrice C","The enchanted garden","vulgar",
"nyp.33433074835400",1876,1876,0,1876,"f","us",33.5565023987,0.4648217072,0,1,"Bellamy, Elizabeth W","The little Joanna","vulgar",
"nyp.33433074840681",1916,1916,0,1916,"m","us",30.0757757932,0.1410291603,0,1,"Curwood, James Oliver","The grizzly king","vulgar",
"nyp.33433074852884",1901,1901,0,1901,"f",,39.2882690855,0.1247695329,0,1,"Harband, Beatrice M","Under the shadow of Durgamma;","vulgar",
"nyp.33433074853726",1921,1921,0,1921,"m","us",34.7652721914,0.0681307338,0,1,"Dorr, Henry G","Mohawk Peter","vulgar",
