"docid","actualdate","earliestdate","firstpub","tags","recordid","OCLC","author","imprint","enumcron","title","pubrev","judge","impaud","yrrev","pubname","birthdate","gender","nationality","othername","notes","canon","path","authsvols","publisher"
"uiuo.ark+=13960=t8kd2h12s",1868,1868,1868,"elite",6502421,3436555,"Lever, Charles James","London;Smith, Elder;1868.","v.3","The Bramleighs of Bishop's Folly","rev",,,1868,"FR",1806,"m","ir",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/8k/d2/h1/2s/ark+=13960=t8kd2h12s/uiuo.ark+=13960=t8kd2h12s.json.bz2",550,"Smith Elder"
"uiuo.ark+=13960=t86h55691",1868,1868,1868,"elite",6502421,3436555,"Lever, Charles James","London;Smith, Elder;1868.","v.1","The Bramleighs of Bishop's Folly","rev",,,1868,"FR",1806,"m","ir",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/86/h5/56/91/ark+=13960=t86h55691/uiuo.ark+=13960=t86h55691.json.bz2",550,"Smith Elder"
"uc1.b4109141",1868,1868,1868,"elite",114757,33412514,"Edwards, Amelia Ann Blanford","New York;C. Scribner & Company;Cleveland;Ingham & Bragg;1868.",,"Norwood;","rev",,,1868,"ATL",1813,"f","uk",,,,"uc1/pairtree_root/b4/10/91/41/b4109141/uc1.b4109141.json.bz2",47,"Scribner Cleveland Ingham Bragg"
"uiuo.ark+=13960=t50g48799",1868,1868,1868,"elite",6502421,3436555,"Lever, Charles James","London;Smith, Elder;1868.","v.2","The Bramleighs of Bishop's Folly","rev",,,1868,"FR",1806,"m","ir",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/50/g4/87/99/ark+=13960=t50g48799/uiuo.ark+=13960=t50g48799.json.bz2",550,"Smith Elder"
"uiuo.ark+=13960=t7jq17z93",1868,1868,1868,"vulgar",,,"Capes, J. M","London;R. Bentley;1868.",,"The mosaic-worker's daughter",,,,,,1813,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/7j/q1/7z/93/ark+=13960=t7jq17z93/uiuo.ark+=13960=t7jq17z93.json.bz2",3,"Bentley"
"uiuo.ark+=13960=t2r50508t",1868,1868,1868,"elite",629962,7513924,"MacDonald, George","London;Hurst and Blackett;1868.","v.3","Robert Falconer","rev",,,1868,"FR",1824,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/2r/50/50/8t/ark+=13960=t2r50508t/uiuo.ark+=13960=t2r50508t.json.bz2",144,"Hurst Blackett"
"uiuo.ark+=13960=t3pv7527f",1868,1868,1868,"vulgar",,,"Tabor, Eliza","London;Hurst and Blackett;1868.",,"Jeanie's quiet life",,,,,,1835,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/3p/v7/52/7f/ark+=13960=t3pv7527f/uiuo.ark+=13960=t3pv7527f.json.bz2",61,"Hurst Blackett"
"uiuo.ark+=13960=t6k07g132",1869,1869,1869,"vulgar",8722955,21300513,"Gibbon, Charles","London;Blackie & Son;1869.","v.2","Robin Gray","rev",,,1871,"BM",1843,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/6k/07/g1/32/ark+=13960=t6k07g132/uiuo.ark+=13960=t6k07g132.json.bz2",37,"Blackie"
"uiuo.ark+=13960=t3611dm26",1869,1869,1869,"vulgar",8722955,21300513,"Gibbon, Charles","London;Blackie & Son;1869.","v.3","Robin Gray","rev",,,1871,"BM",1843,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/36/11/dm/26/ark+=13960=t3611dm26/uiuo.ark+=13960=t3611dm26.json.bz2",37,"Blackie"
"uc2.ark+=13960=t2v40kg0s",1873,1869,1869,"vulgar",,,"Droz, Gustave","New York;Holt;1873.",,"Around a spring",,,,,,1832,"m","french","Bridges, Emily Feake ",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/2v/40/kg/0s/ark+=13960=t2v40kg0s/uc2.ark+=13960=t2v40kg0s.json.bz2",5,"Holt"
"nyp.33433074940838",1886,1869,1869,"elite",8663855,7315096,"Blackmore, R. D","London;S. Low, Marston, Searle, and Rivington;1886.",,"Lorna Doone","rev",,"pop",1871,"BM",1825,"m","uk",,,,"nyp/pairtree_root/33/43/30/74/94/08/38/33433074940838/nyp.33433074940838.json.bz2",108,"Low Marston Searle Rivington"
"njp.32101068972775",1871,1869,1869,"elite",8975912,37267792,"Lawrence, George A","New York;Harper & Bros.;1871.",,"Anteros","rev","neg",,1869,"FR",1827,"m","uk",,,,"njp/pairtree_root/32/10/10/68/97/27/75/32101068972775/njp.32101068972775.json.bz2",24,"Harper"
"njp.32101065841254",1876,1869,1869,"elite",9244901,35757253,"Scudder, Horace Elisha","New York;Hurd and Houghton;1876.",,"Stories from my attic","rev","pos",,1869,"ATL",1838,"m","us",,,,"njp/pairtree_root/32/10/10/65/84/12/54/32101065841254/njp.32101065841254.json.bz2",35,"Hurd Houghton"
"uiuo.ark+=13960=t0pr8g01w",1869,1869,1870,"elite",8721745,30059355,"McCarthy, Justin","London;Tinsley brother;1869.","v.1","My enemy's daughter","rev","pos",,1870,"ATL",1830,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/0p/r8/g0/1w/ark+=13960=t0pr8g01w/uiuo.ark+=13960=t0pr8g01w.json.bz2",42,"Tinsley"
"njp.32101064632746",1869,1869,1869,"vulgar",,,"Sikes, Wirt","Philadelphia;J.B. Lippincott & Co.;1869.",,"One poor girl",,,,,,1836,"m","us",,,,"njp/pairtree_root/32/10/10/64/63/27/46/32101064632746/njp.32101064632746.json.bz2",1,"Lippincott"
"uiuo.ark+=13960=t3cz3kz69",1869,1869,1869,"vulgar",8722955,21300513,"Gibbon, Charles","London;Blackie & Son;1869.","v.1","Robin Gray","rev",,,1871,"BM",1843,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/3c/z3/kz/69/ark+=13960=t3cz3kz69/uiuo.ark+=13960=t3cz3kz69.json.bz2",37,"Blackie"
"uiuo.ark+=13960=t4zg79m6r",1869,1869,1870,"elite",8721745,30059355,"McCarthy, Justin","London;Tinsley brother;1869.","v.2","My enemy's daughter","rev","pos",,1870,"ATL",1830,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/4z/g7/9m/6r/ark+=13960=t4zg79m6r/uiuo.ark+=13960=t4zg79m6r.json.bz2",42,"Tinsley"
"nyp.33433074858089",1869,1869,1869,"elite",4050187,10655867,"Helps, Arthur","Boston;Roberts Brothers;1869.",,"Realmah","rev",,,1869,"FR",1813,"m","uk",,,,"nyp/pairtree_root/33/43/30/74/85/80/89/33433074858089/nyp.33433074858089.json.bz2",14,"Roberts"
"uc2.ark+=13960=t5q815z5v",1869,1869,1869,"elite",7025385,2393247,"Harte, Bret","Boston;New York;Houghton Mifflin company;1869].",,"The luck of Roaring Camp","rev",,"pop",1871,"BM",1836,"m","us",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/5q/81/5z/5v/ark+=13960=t5q815z5v/uc2.ark+=13960=t5q815z5v.json.bz2",474,"Houghton Mifflin"
"wu.89098011976",1869,1869,1870,"elite",5946349,35851869,"Berriedale","New York;T.W. Brown;1869.",,"Unforgiven","rev",,,1870,"ATL",,,,,,,"wu/pairtree_root/89/09/80/11/97/6/89098011976/wu.89098011976.json.bz2",2,"Brown"
"uiuo.ark+=13960=t96694c25",1869,1869,1870,"elite",8721745,30059355,"McCarthy, Justin","London;Tinsley brother;1869.","v.3","My enemy's daughter","rev","pos",,1870,"ATL",1830,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/96/69/4c/25/ark+=13960=t96694c25/uiuo.ark+=13960=t96694c25.json.bz2",42,"Tinsley"
"uc2.ark+=13960=t3st7kr2j",1869,1869,1869,"vulgar",,,"Hemyng, Bracebridge","London;C.H. Clarke;1869",,"Held in thrall",,,,,,1841,"m","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/3s/t7/kr/2j/ark+=13960=t3st7kr2j/uc2.ark+=13960=t3st7kr2j.json.bz2",18,"Clarke"
"nyp.33433075752299",1869,1869,1869,"vulgar",,,"Speight, T. W","Philedelphia;Turner brothers & co.;c1869",,"Under lock and key",,,,,,1830,"m","uk",,,,"nyp/pairtree_root/33/43/30/75/75/22/99/33433075752299/nyp.33433075752299.json.bz2",12,"Philedelphia Turner"
"uiuo.ark+=13960=t13n2tm28",1869,1869,1869,"vulgar",,,"Veitch, Sophie F. F","London;Bentley;1869.",,"Wise as a serpent",,,,,,1839,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/13/n2/tm/28/ark+=13960=t13n2tm28/uiuo.ark+=13960=t13n2tm28.json.bz2",4,"Bentley"
"uc2.ark+=13960=t5q81d957",1869,1869,1869,"vulgar",,,"Jerrold, Blanchard","London;J. C. Hotten;1869",,"Cent per cent",,,,,,1826,"m","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/5q/81/d9/57/ark+=13960=t5q81d957/uc2.ark+=13960=t5q81d957.json.bz2",5,"Hotten"
"nyp.33433082548342",1869,1869,1869,"vulgar",,,"Griswold, F. Burge","Boston;Warren and Blakeslee;1869",,"May",,,,,,1826,"f","us",,,,"nyp/pairtree_root/33/43/30/82/54/83/42/33433082548342/nyp.33433082548342.json.bz2",7,"Warren Blakeslee"
"uc2.ark+=13960=t0ks6ps96",1870,1870,1870,"elite",473280,1932841,"Disraeli, Benjamin","London;Longmans, Green, and co.;1870.","v.1","Lothair","rev","neg",,1870,"BM",1804,"m","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/0k/s6/ps/96/ark+=13960=t0ks6ps96/uc2.ark+=13960=t0ks6ps96.json.bz2",285,"Longmans Green"
"uc2.ark+=13960=t6d21xm9t",1870,1870,1870,"elite",473280,1932841,"Disraeli, Benjamin","London;Longmans, Green, and co.;1870.","v.2","Lothair","rev","neg",,1870,"BM",1804,"m","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/6d/21/xm/9t/ark+=13960=t6d21xm9t/uc2.ark+=13960=t6d21xm9t.json.bz2",285,"Longmans Green"
"uc2.ark+=13960=t2j67fx2g",1870,1870,1870,"elite",473280,1932841,"Disraeli, Benjamin","London;Longmans, Green, and co.;1870.","v.3","Lothair","rev","neg",,1870,"BM",1804,"m","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/2j/67/fx/2g/ark+=13960=t2j67fx2g/uc2.ark+=13960=t2j67fx2g.json.bz2",285,"Longmans Green"
"nnc1.cu55529143",1870,1870,1870,"vulgar",,,"Bradford, O. K","Boston;J.E. Farwell & Company;1870.",,"Mystery explained; or, Additional evidence",,,,,,1832,"m","us","Mathews, Ellen Buckingham",,,"nnc1/pairtree_root/cu/55/52/91/43/cu55529143/nnc1.cu55529143.json.bz2",1,"Farwell"
"uc2.ark+=13960=t6sx69c95",1870,1870,1870,"vulgar",,,"Wood, Ellen","London;R. Bentley;1870.",,"Bessy Rane",,,,,,1814,"f","uk","Wood, Henry, Mrs",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/6s/x6/9c/95/ark+=13960=t6sx69c95/uc2.ark+=13960=t6sx69c95.json.bz2",232,"Bentley"
"nyp.33433082174727",1871,1870,1870,"vulgar",,,"Clemmer, Mary","New York;G. P. Putnam & sons;1871.",,"Eirene;",,,,,,1831,"f","us",,,,"nyp/pairtree_root/33/43/30/82/17/47/27/33433082174727/nyp.33433082174727.json.bz2",5,"Putnam"
"njp.32101067707925",1874,1870,1870,"elite",8964924,29263469,"Benedict, Frank Lee","New York;Harper & Brothers;1874.",,"Miss Van Kortland","rev",,,1870,"ATL",1834,"m","us",,,,"njp/pairtree_root/32/10/10/67/70/79/25/32101067707925/njp.32101067707925.json.bz2",13,"Harper"
"uc1.$b799928",1878,1870,1870,"elite",7939769,11453790,"Swift, John Franklin","New York;Carleton;San Francisco;A. Roman & Co.;1878.",,"Robert Greathouse","rev","neg",,1870,"ATL",1829,"m","us",,,,"uc1/pairtree_root/$b/79/99/28/$b799928/uc1.$b799928.json.bz2",1,"Carleton San Francisco Roman"
"uiuo.ark+=13960=t0qr5b28p",1870,1870,0,"vulgar",,,"Leigh, Alfred","London;J. Blackwood;187-",,"Maud Atherton",,,,,,,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/0q/r5/b2/8p/ark+=13960=t0qr5b28p/uiuo.ark+=13960=t0qr5b28p.json.bz2",4,"Blackwood"
"uc1.b3578514",1870,1870,0,"vulgar",,,"Ainsworth, William Harrison","London;New York;G. Routledge;187-?",,"Mervyn Clithero",,,,,,1805,"m","uk",,,,"uc1/pairtree_root/b3/57/85/14/b3578514/uc1.b3578514.json.bz2",319,"Routledge"
"uiuo.ark+=13960=t59c77k98",1870,1870,1870,"vulgar",,,"Bothmer, Marie","London;Tinsley Brothers, 18 Catherine St. Strand;1870.",,"Strong hands and steadfast hearts",,,,,,1845,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/59/c7/7k/98/ark+=13960=t59c77k98/uiuo.ark+=13960=t59c77k98.json.bz2",6,"Tinsley Catherine St Strand"
"nyp.33433008143475",1870,1870,1870,"vulgar",,,"Stretton, Hesba","Glasgow;Scottish Temperance League;London;Houlston & Sons; and W. Tweedie;Edinburgh;John Menzies & Co.;1870.",,"Nelly's dark days",,,,,,1832,"f","uk",,,,"nyp/pairtree_root/33/43/30/08/14/34/75/33433008143475/nyp.33433008143475.json.bz2",27,"Scottish Temperance League Houlston Tweedie John Menzies"
"nyp.33433074857800",1870,1870,1870,"elite",8668991,37255734,"Neil, Ross","New York;Harper & Bros.;1870.",,"The heir expectant","rev",,,1870,"BM",1840,"f","uk","Harwood, Isabella",,,"nyp/pairtree_root/33/43/30/74/85/78/00/33433074857800/nyp.33433074857800.json.bz2",10,"Harper"
"nyp.33433075936462",1870,1870,1870,"elite",8677652,9670298,"Jenkins, Edward","London;Strahan;1870.",,"Ginx's baby","rev",,,1870,"BM",1838,"m","uk",,,,"nyp/pairtree_root/33/43/30/75/93/64/62/33433075936462/nyp.33433075936462.json.bz2",15,"Strahan"
"nyp.33433075761985",1870,1870,1870,"vulgar",8670086,37302554,"Smart, Hawley","New York;D. Appleton & Co.;1870.",,"A race for a wife","rev",,,1870,"ATL",1833,"m","uk",,,,"nyp/pairtree_root/33/43/30/75/76/19/85/33433075761985/nyp.33433075761985.json.bz2",78,"Appleton"
"uc2.ark+=13960=t53f4mh08",1870,1870,1870,"vulgar",,,"Bradley, Mary E","Boston;Lee and Shepard;1871, c1870.",,"A wrong confessed is half redressed",,,,,,1835,"f","us",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/53/f4/mh/08/ark+=13960=t53f4mh08/uc2.ark+=13960=t53f4mh08.json.bz2",5,"Lee Shepard"
"nyp.33433082523873",1870,1870,1870,"elite",1421444,639586,"Alcott, Louisa May","Boston;Roberts brothers;1870.",,"an old-fashioned girl","rev",,,1870,"ATL",1832,"f","us",,,,"nyp/pairtree_root/33/43/30/82/52/38/73/33433082523873/nyp.33433082523873.json.bz2",79,"Roberts"
"uc1.b4102284",1870,1870,1870,"vulgar",,,"Taylor, Winifred","New York;J. Bradburn;1864.",,"Rupert Rochester, the banker's son",,,,,,,,,,,,"uc1/pairtree_root/b4/10/22/84/b4102284/uc1.b4102284.json.bz2",1,"Bradburn"
"uiuo.ark+=13960=t39z9hj0v",1870,1870,1870,"vulgar",,,"Author of No appeal","London;Chapman and Hall;1863.",,"Gerald Hastings of Barton",,,,,,0,"u",,,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/39/z9/hj/0v/ark+=13960=t39z9hj0v/uiuo.ark+=13960=t39z9hj0v.json.bz2",3,"Chapman Hall"
"nc01.ark+=13960=t1gh9wn1r",1870,1870,1870,"vulgar",,,"Chaplin, Jane Dunbar","Boston;H.A. Young & Co.;1870.",,"Out of the wilderness",,,,,,1819,"f","us",,,,"nc01/pairtree_root/ar/k+/=1/39/60/=t/1g/h9/wn/1r/ark+=13960=t1gh9wn1r/nc01.ark+=13960=t1gh9wn1r.json.bz2",4,"Young"
"uva.x030765011",1873,1871,1871,"elite",9780146,20139664,"Poynter, E. Frances","New York;Holt & Williams;1873.",,"My little lady","rev",,,1871,"FR",,"f","uk",,,,"uva/pairtree_root/x0/30/76/50/11/x030765011/uva.x030765011.json.bz2",7,"Holt Williams"
"uc2.ark+=13960=t7cr5nx0k",1871,1871,1871,"elite",1027313,273993,"Eggleston, Edward","New York;Orange Judd;c1871.",,"The Hoosier school-master","rev",,,1872,"ATL",1837,"m","us",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/7c/r5/nx/0k/ark+=13960=t7cr5nx0k/uc2.ark+=13960=t7cr5nx0k.json.bz2",52,"Orange Judd"
"uc1.$b809207",1871,1871,1871,"elite",7939028,606865,"Harris, Miriam Coles","New York;C. Scribner;1871",,"Richard Vandermarck","rev","neg","pop",1872,"ATL",1834,"f","us",,,,"uc1/pairtree_root/$b/80/92/07/$b809207/uc1.$b809207.json.bz2",41,"Scribner"
"njp.32101069165684",1871,1871,1871,"vulgar",,,"Edwards, C. R","New York;International Pub. Co.;1871.",,"A story of Niagara",,,,,,,"m","us",,,,"njp/pairtree_root/32/10/10/69/16/56/84/32101069165684/njp.32101069165684.json.bz2",1,"International"
"uc2.ark+=13960=t5db83h0b",1872,1871,1871,"elite",7695411,364205167,"Parr, Louisa Taylor","Leipzig;Bernhard Tauchnitz;1872.",,"Dorothy Fox","rev",,,1871,"FR",1848,"f","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/5d/b8/3h/0b/ark+=13960=t5db83h0b/uc2.ark+=13960=t5db83h0b.json.bz2",2,"Bernhard Tauchnitz"
"nc01.ark+=13960=t8mc9bp1c",1871,1871,1871,"elite",8659219,4995484,"De Forest, John William","New York;Sheldon;1871.",,"Overland","rev",,,1872,"ATL",1826,"m","us",,,,"nc01/pairtree_root/ar/k+/=1/39/60/=t/8m/c9/bp/1c/ark+=13960=t8mc9bp1c/nc01.ark+=13960=t8mc9bp1c.json.bz2",14,"Sheldon"
"uc2.ark+=13960=t3vt1j63s",1871,1871,1871,"vulgar",,,"Leavitt, John McDowell","New York;Dodd & Mead;1871.",,"The American cardinal",,,,,,1824,"m","us",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/3v/t1/j6/3s/ark+=13960=t3vt1j63s/uc2.ark+=13960=t3vt1j63s.json.bz2",8,"Dodd Mead"
"uiuo.ark+=13960=t73v07t79",1871,1871,1871,"elite",8719394,22365421,"Yates, Edmund Hodgson","London;Chapman and Hall;1871.","v.3","Dr. Wainwright's patient","rev",,,1871,"FR",1831,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/73/v0/7t/79/ark+=13960=t73v07t79/uiuo.ark+=13960=t73v07t79.json.bz2",44,"Chapman Hall"
"uc2.ark+=13960=t48p5zc15",1871,1871,1871,"vulgar",,,"Volckhausen, Adeline","Philadelphia;J.B. Lippincott;1871.",,"Why did he not die?, or, The Child from the Ebräergang",,,,,,1823,"f","german",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/48/p5/zc/15/ark+=13960=t48p5zc15/uc2.ark+=13960=t48p5zc15.json.bz2",2,"Lippincott"
"nyp.33433034394472",1871,1871,1871,"elite",8609374,38391337,"Ward, Elizabeth Stuart Phelps","London;F. Pitman;1871.",,"The gates ajar; or, A glimpse into heaven","rev",,"pop",1871,"BM",1844,"f","us",,,,"nyp/pairtree_root/33/43/30/34/39/44/72/33433034394472/nyp.33433034394472.json.bz2",3,"Pitman"
"uiuo.ark+=13960=t1fj3570z",1871,1871,1871,"elite",8721591,308073,"Eliot, George","Edinburgh;W. Blackwood;1871-72.","v.2: pt. 1","Middlemarch: a study of provincial life","rev","pos",,1873,"FR",1819,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/1f/j3/57/0z/ark+=13960=t1fj3570z/uiuo.ark+=13960=t1fj3570z.json.bz2",562,"Blackwood"
"uiuo.ark+=13960=t8hd8hf4s",1871,1871,1871,"elite",8719394,22365421,"Yates, Edmund Hodgson","London;Chapman and Hall;1871.","v.2","Dr. Wainwright's patient","rev",,,1871,"FR",1831,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/8h/d8/hf/4s/ark+=13960=t8hd8hf4s/uiuo.ark+=13960=t8hd8hf4s.json.bz2",44,"Chapman Hall"
"uiuo.ark+=13960=t4rj5462f",1871,1871,1871,"elite",8719394,22365421,"Yates, Edmund Hodgson","London;Chapman and Hall;1871.","v.1","Dr. Wainwright's patient","rev",,,1871,"FR",1831,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/4r/j5/46/2f/ark+=13960=t4rj5462f/uiuo.ark+=13960=t4rj5462f.json.bz2",44,"Chapman Hall"
"mdp.49015002676170",1871,1871,1871,"vulgar",,,"Alger, Horatio","Rahway, N. J.;Mershon Co.;pref. 1871].",,"Paul the peddler",,,,,,1832,"m","us",,,,"mdp/pairtree_root/49/01/50/02/67/61/70/49015002676170/mdp.49015002676170.json.bz2",101,"Rahway Mershon Pref"
"uiuo.ark+=13960=t8hd8j356",1871,1871,1871,"elite",8721591,308073,"Eliot, George","Edinburgh;W. Blackwood;1871-72.","v.1: pt. 1","Middlemarch: a study of provincial life","rev","pos",,1873,"FR",1819,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/8h/d8/j3/56/ark+=13960=t8hd8j356/uiuo.ark+=13960=t8hd8j356.json.bz2",562,"Blackwood"
"wu.89098014699",1871,1871,1871,"elite",5946416,6059491,"Chesebro', Caroline","Boston;J. R. Osgood;1871.",,"The foe in the household","rev","pos",,1871,"ATL",1825,"f","us",,,,"wu/pairtree_root/89/09/80/14/69/9/89098014699/wu.89098014699.json.bz2",11,"Osgood"
"uiuo.ark+=13960=t3gx4pc1g",1871,1871,1871,"vulgar",,,"Fenn, George Manville","London;Tinsley;1871.",,"By birth a lady",,,,,,1831,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/3g/x4/pc/1g/ark+=13960=t3gx4pc1g/uiuo.ark+=13960=t3gx4pc1g.json.bz2",68,"Tinsley"
"uiuo.ark+=13960=t99606c4g",1871,1871,1871,"vulgar",,,"Pomeroy, John","London;Tinsley Brothers;1871.",,"The Scandinavian ring. A novel",,,,,,0,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/99/60/6c/4g/ark+=13960=t99606c4g/uiuo.ark+=13960=t99606c4g.json.bz2",3,"Tinsley"
"nyp.33433076079544",1871,1871,1871,"vulgar",,,"Hazlett, Helen","Philadelphia;Claxton, Remsen & Haffelfinger;1871.",,"The heights of Eidelberg",,,,,,1825,"f","us",,,,"nyp/pairtree_root/33/43/30/76/07/95/44/33433076079544/nyp.33433076079544.json.bz2",3,"Claxton Remsen Haffelfinger"
"uiuo.ark+=13960=t0ks7cx66",1871,1871,1871,"elite",8721591,308073,"Eliot, George","Edinburgh;W. Blackwood;1871-72.","v.4: pt. 1","Middlemarch: a study of provincial life","rev","pos",,1873,"FR",1819,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/0k/s7/cx/66/ark+=13960=t0ks7cx66/uiuo.ark+=13960=t0ks7cx66.json.bz2",562,"Blackwood"
"uiuo.ark+=13960=t4xh0999j",1871,1871,1871,"elite",8721591,308073,"Eliot, George","Edinburgh;W. Blackwood;1871-72.","v.1: pt. 2","Middlemarch: a study of provincial life","rev","pos",,1873,"FR",1819,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/4x/h0/99/9j/ark+=13960=t4xh0999j/uiuo.ark+=13960=t4xh0999j.json.bz2",562,"Blackwood"
"uiuo.ark+=13960=t1tf0h21k",1871,1871,1871,"elite",8721591,308073,"Eliot, George","Edinburgh;W. Blackwood;1871-72.","v.2: pt. 2","Middlemarch: a study of provincial life","rev","pos",,1873,"FR",1819,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/1t/f0/h2/1k/ark+=13960=t1tf0h21k/uiuo.ark+=13960=t1tf0h21k.json.bz2",562,"Blackwood"
"uiuo.ark+=13960=t51g1d15h",1871,1871,1871,"elite",8721591,308073,"Eliot, George","Edinburgh;W. Blackwood;1871-72.","v.3: pt. 2","Middlemarch: a study of provincial life","rev","pos",,1873,"FR",1819,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/51/g1/d1/5h/ark+=13960=t51g1d15h/uiuo.ark+=13960=t51g1d15h.json.bz2",562,"Blackwood"
"uiuo.ark+=13960=t3bz6fw2n",1871,1871,1871,"vulgar",,,"Bell, Emily Ernst","London;Hurst and Blackett;1872 [i. e. 1871",,"A first appearance",,,,,,1840,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/3b/z6/fw/2n/ark+=13960=t3bz6fw2n/uiuo.ark+=13960=t3bz6fw2n.json.bz2",3,"Hurst Blackett"
"njp.32101065848267",1871,1871,1871,"vulgar",,,"Murray, Eustace Clare Grenville","London;Smith, Elder;1871.",,"The member for Paris",,,,,,1824,"m","uk",,,,"njp/pairtree_root/32/10/10/65/84/82/67/32101065848267/njp.32101065848267.json.bz2",15,"Smith Elder"
"nyp.33433074808670",1871,1871,1871,"vulgar",,,"Brotherhead, Alfred P[axton]","Philadelphia;J. P. Lippincott & Co.;1871.",,"Himself his worst enemy",,,,,,,,,,,,"nyp/pairtree_root/33/43/30/74/80/86/70/33433074808670/nyp.33433074808670.json.bz2",2,"Lippincott"
"uiuo.ark+=13960=t2x35dr9t",1871,1871,1871,"vulgar",,,"Scott, Geo. G","London;T. Cautley Newby;1871.",,"Clumber chase; or, Love's riddle solved by a royal sphinx",,,,,,1811,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/2x/35/dr/9t/ark+=13960=t2x35dr9t/uiuo.ark+=13960=t2x35dr9t.json.bz2",3,"Cautley Newby"
"uc2.ark+=13960=t9t14ws52",1871,1871,1871,"vulgar",,,"Weitzel, Sophie Winthrop","New York;A.D.F. Randolph;1871",,"Miss Roberts' fortune",,,,,,1840,"f","us",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/9t/14/ws/52/ark+=13960=t9t14ws52/uc2.ark+=13960=t9t14ws52.json.bz2",1,"Randolph"
"uiuo.ark+=13960=t9w09kf0m",1871,1871,1871,"vulgar",,,"Marryat, Florence","London;R. Bentley;1871.",,"The prey of the gods",,,,,,1833,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/9w/09/kf/0m/ark+=13960=t9w09kf0m/uiuo.ark+=13960=t9w09kf0m.json.bz2",83,"Bentley"
"nyp.33433074896105",1871,1871,1871,"vulgar",,,"McLain, Mary Webster","New York;Dodd, Mead & Co.;c1871",,"Daisy Ward's work",,,,,,,,,,,,"nyp/pairtree_root/33/43/30/74/89/61/05/33433074896105/nyp.33433074896105.json.bz2",1,"Dodd Mead"
"uiuo.ark+=13960=t50g4c509",1871,1871,1871,"elite",8721591,308073,"Eliot, George","Edinburgh;W. Blackwood;1871-72.","v. 3 PT.1","Middlemarch: a study of provincial life","rev","pos",,1873,"FR",1819,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/50/g4/c5/09/ark+=13960=t50g4c509/uiuo.ark+=13960=t50g4c509.json.bz2",562,"Blackwood"
