docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,path,authsvols,publisher,decade
uiuo.ark+=13960=t1fj3570z,1871,1871,1871.0,elite,8721591.0,308073,"Eliot, George",Edinburgh;W. Blackwood;1871-72.,v.2: pt. 1,Middlemarch: a study of provincial life,rev,pos,,1873,FR,1819.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/1f/j3/57/0z/ark+=13960=t1fj3570z/uiuo.ark+=13960=t1fj3570z.json.bz2,562,Blackwood,1870
nyp.33433082523873,1870,1870,1870.0,elite,1421444.0,639586,"Alcott, Louisa May",Boston;Roberts brothers;1870.,,an old-fashioned girl,rev,,,1870,ATL,1832.0,f,us,,,,nyp/pairtree_root/33/43/30/82/52/38/73/33433082523873/nyp.33433082523873.json.bz2,79,Roberts,1870
nyp.33433074857800,1870,1870,1870.0,elite,8668991.0,37255734,"Neil, Ross",New York;Harper & Bros.;1870.,,The heir expectant,rev,,,1870,BM,1840.0,f,uk,"Harwood, Isabella",,,nyp/pairtree_root/33/43/30/74/85/78/00/33433074857800/nyp.33433074857800.json.bz2,10,Harper,1870
uva.x030765011,1873,1871,1871.0,elite,9780146.0,20139664,"Poynter, E. Frances",New York;Holt & Williams;1873.,,My little lady,rev,,,1871,FR,,f,uk,,,,uva/pairtree_root/x0/30/76/50/11/x030765011/uva.x030765011.json.bz2,7,Holt Williams,1870
uiuo.ark+=13960=t50g4c509,1871,1871,1871.0,elite,8721591.0,308073,"Eliot, George",Edinburgh;W. Blackwood;1871-72.,v. 3 PT.1,Middlemarch: a study of provincial life,rev,pos,,1873,FR,1819.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/50/g4/c5/09/ark+=13960=t50g4c509/uiuo.ark+=13960=t50g4c509.json.bz2,562,Blackwood,1870
uc2.ark+=13960=t5db83h0b,1872,1871,1871.0,elite,7695411.0,364205167,"Parr, Louisa Taylor",Leipzig;Bernhard Tauchnitz;1872.,,Dorothy Fox,rev,,,1871,FR,1848.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/5d/b8/3h/0b/ark+=13960=t5db83h0b/uc2.ark+=13960=t5db83h0b.json.bz2,2,Bernhard Tauchnitz,1870
uc1.b4104445,1874,1874,1874.0,elite,5946500.0,961310,"Davis, Rebecca Harding",New York;Orange Judd company;c1874,,John Andross,rev,pos,,1874,ATL,1831.0,f,us,,,,uc1/pairtree_root/b4/10/44/45/b4104445/uc1.b4104445.json.bz2,19,Orange Judd,1870
uiuo.ark+=13960=t1sf38n52,1879,1879,1879.0,elite,8719371.0,41248950,"Keary, Annie",London;Macmillan;1879.,v.2,A doubting heart,rev,pos,,1880,MM,1825.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/1s/f3/8n/52/ark+=13960=t1sf38n52/uiuo.ark+=13960=t1sf38n52.json.bz2,17,Macmillan,1870
uiuo.ark+=13960=t56d6ds4n,1873,1873,1873.0,elite,8721494.0,21920824,"Oliphant, Margaret",London;Hurst and Blackett;1873.,v.2,May,rev,,,1873,BM,1828.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/56/d6/ds/4n/ark+=13960=t56d6ds4n/uiuo.ark+=13960=t56d6ds4n.json.bz2,305,Hurst Blackett,1870
inu.39000003330797,1879,1879,1879.0,elite,6059987.0,2620860,"Fothergill, Jessie",London;R. Bentley;1879.,v.2,Probation,rev,pos,,1880,ATL,1851.0,f,uk,,,,inu/pairtree_root/39/00/00/03/33/07/97/39000003330797/inu.39000003330797.json.bz2,48,Bentley,1870
uc2.ark+=13960=t21c1zs54,1876,1876,1876.0,elite,6131638.0,13339593,"Broughton, Rhoda",London;R. Bentley;1876.,v.1,Joan,rev,,,1876,FR,1840.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/21/c1/zs/54/ark+=13960=t21c1zs54/uc2.ark+=13960=t21c1zs54.json.bz2,87,Bentley,1870
nyp.33433082521166,1872,1872,1872.0,elite,8692446.0,332921,"Diaz, Abby Morton",Boston;J. R. Osgood and Company;1872.,,William Henry and his friends,rev,,,1872,ATL,1821.0,f,us,,,,nyp/pairtree_root/33/43/30/82/52/11/66/33433082521166/nyp.33433082521166.json.bz2,13,Osgood,1870
uc1.$b809207,1871,1871,1871.0,elite,7939028.0,606865,"Harris, Miriam Coles",New York;C. Scribner;1871,,Richard Vandermarck,rev,neg,pop,1872,ATL,1834.0,f,us,,,,uc1/pairtree_root/$b/80/92/07/$b809207/uc1.$b809207.json.bz2,41,Scribner,1870
nyp.33433076072028,1879,1879,1879.0,elite,1423408.0,5319507,"Jewett, Sarah Orne",Boston;Houghton;Osgood and company;1879.,,Old friends and new,rev,,,1880,ATL,1849.0,f,us,,,,nyp/pairtree_root/33/43/30/76/07/20/28/33433076072028/nyp.33433076072028.json.bz2,73,Houghton Osgood,1870
inu.32000006997615,1873,1873,1873.0,elite,8570178.0,3508964,"Ritchie, Anne Thackeray","London;Smith, Elder, & co.;1873.",,Old Kensington,rev,,,1873,FR,1837.0,f,uk,,,,inu/pairtree_root/32/00/00/06/99/76/15/32000006997615/inu.32000006997615.json.bz2,46,Smith Elder,1870
uiuo.ark+=13960=t7hq4fp6c,1879,1879,1879.0,elite,8719371.0,41248950,"Keary, Annie",London;Macmillan;1879.,v.3,A doubting heart,rev,pos,,1880,MM,1825.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/7h/q4/fp/6c/ark+=13960=t7hq4fp6c/uiuo.ark+=13960=t7hq4fp6c.json.bz2,17,Macmillan,1870
uc2.ark+=13960=t5x63gm9z,1876,1876,1876.0,elite,6131638.0,13339593,"Broughton, Rhoda",London;R. Bentley;1876.,v.3,Joan,rev,,,1876,FR,1840.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/5x/63/gm/9z/ark+=13960=t5x63gm9z/uc2.ark+=13960=t5x63gm9z.json.bz2,87,Bentley,1870
uc2.ark+=13960=t1mg7mm2m,1875,1875,1875.0,elite,7688224.0,11232419,"Gift, Theo",New York;H. Holt;1875.,,Pretty Miss Bellew;,rev,,,1875,ATL,1847.0,f,uk,"Boulger, D. Henrietta ",,,uc2/pairtree_root/ar/k+/=1/39/60/=t/1m/g7/mm/2m/ark+=13960=t1mg7mm2m/uc2.ark+=13960=t1mg7mm2m.json.bz2,4,Holt,1870
uva.x030788142,1879,1879,1879.0,elite,9776577.0,669920629,"Butt, Beatrice May",New York;G. Munro;c1879.,,Delicia,rev,pos,,1880,ATL,1853.0,f,uk,,,,uva/pairtree_root/x0/30/78/81/42/x030788142/uva.x030788142.json.bz2,5,Munro,1870
uiuo.ark+=13960=t1tf0h21k,1871,1871,1871.0,elite,8721591.0,308073,"Eliot, George",Edinburgh;W. Blackwood;1871-72.,v.2: pt. 2,Middlemarch: a study of provincial life,rev,pos,,1873,FR,1819.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/1t/f0/h2/1k/ark+=13960=t1tf0h21k/uiuo.ark+=13960=t1tf0h21k.json.bz2,562,Blackwood,1870
uiuo.ark+=13960=t8hd8j356,1871,1871,1871.0,elite,8721591.0,308073,"Eliot, George",Edinburgh;W. Blackwood;1871-72.,v.1: pt. 1,Middlemarch: a study of provincial life,rev,pos,,1873,FR,1819.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/8h/d8/j3/56/ark+=13960=t8hd8j356/uiuo.ark+=13960=t8hd8j356.json.bz2,562,Blackwood,1870
wu.89099776841,1878,1878,1878.0,elite,8995982.0,70808269,"Craik, Dinah Maria Mulock","New York;Harper & Brothers;1879, c 1878.",,Young Mrs. Jardine,rev,,,1880,ATL,1826.0,f,uk,,,,wu/pairtree_root/89/09/97/76/84/1/89099776841/wu.89099776841.json.bz2,168,Harper,1870
inu.39000003330789,1879,1879,1879.0,elite,6059987.0,2620860,"Fothergill, Jessie",London;R. Bentley;1879.,v.1,Probation,rev,pos,,1880,ATL,1851.0,f,uk,,,,inu/pairtree_root/39/00/00/03/33/07/89/39000003330789/inu.39000003330789.json.bz2,48,Bentley,1870
uiuo.ark+=13960=t6834h65s,1871,1871,1871.0,elite,8721591.0,308073,"Eliot, George",Edinburgh;W. Blackwood;1871-72.,v.4: pt 2,Middlemarch: a study of provincial life,rev,pos,,1873,FR,1819.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/68/34/h6/5s/ark+=13960=t6834h65s/uiuo.ark+=13960=t6834h65s.json.bz2,562,Blackwood,1870
uiuo.ark+=13960=t2k65210v,1873,1873,1873.0,elite,8721494.0,21920824,"Oliphant, Margaret",London;Hurst and Blackett;1873.,v.1,May,rev,,,1873,BM,1828.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/2k/65/21/0v/ark+=13960=t2k65210v/uiuo.ark+=13960=t2k65210v.json.bz2,305,Hurst Blackett,1870
nyp.33433034394472,1871,1871,1871.0,elite,8609374.0,38391337,"Ward, Elizabeth Stuart Phelps",London;F. Pitman;1871.,,"The gates ajar; or, A glimpse into heaven",rev,,pop,1871,BM,1844.0,f,us,,,,nyp/pairtree_root/33/43/30/34/39/44/72/33433034394472/nyp.33433034394472.json.bz2,3,Pitman,1870
uiuo.ark+=13960=t51g1d15h,1871,1871,1871.0,elite,8721591.0,308073,"Eliot, George",Edinburgh;W. Blackwood;1871-72.,v.3: pt. 2,Middlemarch: a study of provincial life,rev,pos,,1873,FR,1819.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/51/g1/d1/5h/ark+=13960=t51g1d15h/uiuo.ark+=13960=t51g1d15h.json.bz2,562,Blackwood,1870
uiuo.ark+=13960=t7vm4tf4w,1873,1873,1873.0,elite,8721494.0,21920824,"Oliphant, Margaret",London;Hurst and Blackett;1873.,v.3,May,rev,,,1873,BM,1828.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/7v/m4/tf/4w/ark+=13960=t7vm4tf4w/uiuo.ark+=13960=t7vm4tf4w.json.bz2,305,Hurst Blackett,1870
wu.89098014699,1871,1871,1871.0,elite,5946416.0,6059491,"Chesebro', Caroline",Boston;J. R. Osgood;1871.,,The foe in the household,rev,pos,,1871,ATL,1825.0,f,us,,,,wu/pairtree_root/89/09/80/14/69/9/89098014699/wu.89098014699.json.bz2,11,Osgood,1870
njp.32101068176658,1879,1879,1879.0,elite,8969034.0,1040755,"Douglas, Amanda Minnie",Boston;Lee and Shepard;1879,,Hope mills;,rev,neg,,1880,ATL,1831.0,f,us,,,,njp/pairtree_root/32/10/10/68/17/66/58/32101068176658/njp.32101068176658.json.bz2,38,Lee Shepard,1870
mdp.39015063961315,1880,1879,1879.0,elite,123491.0,1188302,"[Sprague, Mary Aplin]","Boston;Houghton, Osgood and company;1880.",,An earnest trifler,rev,,,1880,ATL,1849.0,f,us,,,,mdp/pairtree_root/39/01/50/63/96/13/15/39015063961315/mdp.39015063961315.json.bz2,1,Houghton Osgood,1870
uc1.b4104982,1877,1877,1877.0,elite,323694.0,2341500,"Burnett, Frances Hodgson",New York;Scribner;Armstrong & company;1877.,,That lass o' Lowrie's,rev,pos,,1877,ATL,1849.0,f,us,,,,uc1/pairtree_root/b4/10/49/82/b4104982/uc1.b4104982.json.bz2,166,Scribner Armstrong,1870
nyp.33433034410518,1872,1872,1872.0,elite,8609555.0,38453555,"Edwards, Annie",London;R. Bentley and Son;1872.,,Ought we to visit her?,rev,pos,,1872,ATL,1830.0,f,uk,,,,nyp/pairtree_root/33/43/30/34/41/05/18/33433034410518/nyp.33433034410518.json.bz2,29,Bentley,1870
nnc1.cr60162589,1872,1872,1872.0,vulgar,,,"Paull, M. A",Glasgow;John S. Marr & Sons;1872] .,,My parish and what happened in it / Mary Anna (Paull) Ripley,,,,,,1838.0,f,uk,,,,nnc1/pairtree_root/cr/60/16/25/89/cr60162589/nnc1.cr60162589.json.bz2,1,John Marr,1870
uc2.ark+=13960=t4mk66200,1872,1872,1872.0,vulgar,,,"Mathews, Joanna Hooe",New York;R. Carter and brothers;1872.,,Jessie's parrot,,,,,,1849.0,f,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/4m/k6/62/00/ark+=13960=t4mk66200/uc2.ark+=13960=t4mk66200.json.bz2,6,Carter,1870
uc2.ark+=13960=t48p5zc15,1871,1871,1871.0,vulgar,,,"Volckhausen, Adeline",Philadelphia;J.B. Lippincott;1871.,,"Why did he not die?, or, The Child from the Ebräergang",,,,,,1823.0,f,german,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/48/p5/zc/15/ark+=13960=t48p5zc15/uc2.ark+=13960=t48p5zc15.json.bz2,2,Lippincott,1870
njp.32101068166055,1876,1876,1876.0,vulgar,,,"Charlesworth, Maria Louisa",New York;R. Carter;1876.,,Oliver of the mill,,,,,,1819.0,f,uk,,,,njp/pairtree_root/32/10/10/68/16/60/55/32101068166055/njp.32101068166055.json.bz2,10,Carter,1870
mdp.39015065957253,1879,1879,,vulgar,,,"Yonge, Charlotte M",London;Macmillan;1879.,,"Magnum bonum, or Mother Carey's brood",,,,,,1823.0,f,uk,,,,mdp/pairtree_root/39/01/50/65/95/72/53/39015065957253/mdp.39015065957253.json.bz2,218,Macmillan,1870
wu.89098026875,1872,1872,1872.0,vulgar,,,"Greenough, Richard S., Mrs",Boston;Roberts Brothers;1872.,,In extremis,,,,,,1819.0,f,us,,,,wu/pairtree_root/89/09/80/26/87/5/89098026875/wu.89098026875.json.bz2,5,Roberts,1870
uc2.ark+=13960=t7xk87j6z,1877,1877,1877.0,vulgar,,,"Forrester, Mrs",Philadelphia;J. B. Lippincott;1877.,,Mignon,,,,,,1843.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/7x/k8/7j/6z/ark+=13960=t7xk87j6z/uc2.ark+=13960=t7xk87j6z.json.bz2,17,Lippincott,1870
uc2.ark+=13960=t3610xb6c,1871,1871,1871.0,vulgar,,,"Harbert, Lizzie Boynton",Des Moines;Mills & Co.;1871.,,Out of her sphere,,,,,,1843.0,f,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/36/10/xb/6c/ark+=13960=t3610xb6c/uc2.ark+=13960=t3610xb6c.json.bz2,1,Des Moines Mills,1870
uc2.ark+=13960=t9t14ws52,1871,1871,1871.0,vulgar,,,"Weitzel, Sophie Winthrop",New York;A.D.F. Randolph;1871,,Miss Roberts' fortune,,,,,,1840.0,f,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/9t/14/ws/52/ark+=13960=t9t14ws52/uc2.ark+=13960=t9t14ws52.json.bz2,1,Randolph,1870
uiuo.ark+=13960=t9668r34m,1872,1872,1872.0,vulgar,,,"Chatterton, Georgiana",London;Hurst and Blackett;1872.,,The lost bride,,,,,,1806.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/96/68/r3/4m/ark+=13960=t9668r34m/uiuo.ark+=13960=t9668r34m.json.bz2,32,Hurst Blackett,1870
nc01.ark+=13960=t1gh9wn1r,1870,1870,1870.0,vulgar,,,"Chaplin, Jane Dunbar",Boston;H.A. Young & Co.;1870.,,Out of the wilderness,,,,,,1819.0,f,us,,,,nc01/pairtree_root/ar/k+/=1/39/60/=t/1g/h9/wn/1r/ark+=13960=t1gh9wn1r/nc01.ark+=13960=t1gh9wn1r.json.bz2,4,Young,1870
uc2.ark+=13960=t15m6701g,1875,1875,1875.0,vulgar,,,"Mathers, Helen",London;R. Bentley;1875.,,Comin' thro' the rye,,,,,,1853.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/15/m6/70/1g/ark+=13960=t15m6701g/uc2.ark+=13960=t15m6701g.json.bz2,38,Bentley,1870
nyp.33433076049794,1879,1879,,vulgar,,,"Rayne, M. L","New York;G. W. Carleton & Co.; [etc., etc.;1879.",,Fallen among thieves,,,,,,1836.0,f,us,,,,nyp/pairtree_root/33/43/30/76/04/97/94/33433076049794/nyp.33433076049794.json.bz2,6,Carleton,1870
uc2.ark+=13960=t6sx69c95,1870,1870,1870.0,vulgar,,,"Wood, Ellen",London;R. Bentley;1870.,,Bessy Rane,,,,,,1814.0,f,uk,"Wood, Henry, Mrs",,,uc2/pairtree_root/ar/k+/=1/39/60/=t/6s/x6/9c/95/ark+=13960=t6sx69c95/uc2.ark+=13960=t6sx69c95.json.bz2,232,Bentley,1870
uc2.ark+=13960=t84j0cp08,1879,1879,,vulgar,,,"Montgomery, Florence",Philadelphia;J.B. Lippincott;1879.,,Seaforth,,,,,,1843.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/84/j0/cp/08/ark+=13960=t84j0cp08/uc2.ark+=13960=t84j0cp08.json.bz2,29,Lippincott,1870
uc2.ark+=13960=t8bg2j878,1874,1874,1874.0,vulgar,,,"Reid, Christian",New York;D. Appleton and company;1874.,,A daughter of Bohemia;,,,,,,1846.0,f,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/8b/g2/j8/78/ark+=13960=t8bg2j878/uc2.ark+=13960=t8bg2j878.json.bz2,33,Appleton,1870
uc2.ark+=13960=t9w095f33,1900,1874,1874.0,vulgar,,,"Southworth, Emma Dorothy Eliza Nevitte",New York;A. L. Burt;n.d.,,Victor's triumph,,,,,,1819.0,f,us,"Southworth, E. D. E. N. ",,,uc2/pairtree_root/ar/k+/=1/39/60/=t/9w/09/5f/33/ark+=13960=t9w095f33/uc2.ark+=13960=t9w095f33.json.bz2,82,Burt,1870
nyp.33433074835400,1876,1876,1876.0,vulgar,,,"Bellamy, Elizabeth W",New York;D. Appleton;1876.,,The little Joanna,,,,,,1837.0,f,us,,,,nyp/pairtree_root/33/43/30/74/83/54/00/33433074835400/nyp.33433074835400.json.bz2,3,Appleton,1870
uiuo.ark+=13960=t49p3pp7b,1875,1875,1875.0,vulgar,,,"Tabor, Eliza",London;Hurst and Blackett;1875.,,Eglantine,,,,,,1835.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/49/p3/pp/7b/ark+=13960=t49p3pp7b/uiuo.ark+=13960=t49p3pp7b.json.bz2,61,Hurst Blackett,1870
nnc1.1002208741,1879,1879,,vulgar,,,"Perry, Alice",Boston;Lothrop;1879,,More ways than one,,,,,,1854.0,f,us,,,,nnc1/pairtree_root/10/02/20/87/41/1002208741/nnc1.1002208741.json.bz2,2,Lothrop,1870
njp.32101067643351,1872,1872,1872.0,vulgar,,,"Estvan, Mathilde",New York;Putnam;1872.,,Harry Delaware,,,,,,,f,us,,,,njp/pairtree_root/32/10/10/67/64/33/51/32101067643351/njp.32101067643351.json.bz2,2,Putnam,1870
uiuo.ark+=13960=t9w09kf0m,1871,1871,1871.0,vulgar,,,"Marryat, Florence",London;R. Bentley;1871.,,The prey of the gods,,,,,,1833.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/9w/09/kf/0m/ark+=13960=t9w09kf0m/uiuo.ark+=13960=t9w09kf0m.json.bz2,83,Bentley,1870
nyp.33433075763866,1875,1875,1875.0,vulgar,,,"Walsingham, Charlotte","Philadelphia;Claxton, Remsen & Haffelfinger;1875.",,Annette;,,,,,,,f,us,,,,nyp/pairtree_root/33/43/30/75/76/38/66/33433075763866/nyp.33433075763866.json.bz2,1,Claxton Remsen Haffelfinger,1870
uiuo.ark+=13960=t44q8885q,1877,1877,1877.0,vulgar,,,"Edwards, Matilda Betham",London;Hurst & Blackett;1877.,,Bridget,,,,,,1836.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/44/q8/88/5q/ark+=13960=t44q8885q/uiuo.ark+=13960=t44q8885q.json.bz2,3,Hurst Blackett,1870
nyp.33433074888961,1877,1877,1877.0,vulgar,,,"Linton, E. Lynn",New York;Harper & Bros.;1877.,,From dreams to waking,,,,,,1822.0,f,uk,,,,nyp/pairtree_root/33/43/30/74/88/89/61/33433074888961/nyp.33433074888961.json.bz2,50,Harper,1870
nyp.33433082174727,1871,1870,1870.0,vulgar,,,"Clemmer, Mary",New York;G. P. Putnam & sons;1871.,,Eirene;,,,,,,1831.0,f,us,,,,nyp/pairtree_root/33/43/30/82/17/47/27/33433082174727/nyp.33433082174727.json.bz2,5,Putnam,1870
uiuo.ark+=13960=t3bz6fw2n,1871,1871,1871.0,vulgar,,,"Bell, Emily Ernst",London;Hurst and Blackett;1872 [i. e. 1871,,A first appearance,,,,,,1840.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/3b/z6/fw/2n/ark+=13960=t3bz6fw2n/uiuo.ark+=13960=t3bz6fw2n.json.bz2,3,Hurst Blackett,1870
uc1.b250353,1874,1874,1874.0,vulgar,,,"Reade, Compton",London;R. Bentley;1874.,,Rose and Rue,,,,,,1836.0,f,uk,,,,uc1/pairtree_root/$b/25/03/53/$b250353/uc1.$b250353.json.bz2,6,Bentley,1870
uiuo.ark+=13960=t8pc3h23p,1874,1874,0.0,vulgar,,,"De Jongh, Bertha",London;Richard Bentley and Son;1874.,,The sisters Lawless,,,,,,,f,uk,"Noel, Rosa",,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/8p/c3/h2/3p/ark+=13960=t8pc3h23p/uiuo.ark+=13960=t8pc3h23p.json.bz2,6,Richard Bentley,1870
nyp.33433076079544,1871,1871,1871.0,vulgar,,,"Hazlett, Helen","Philadelphia;Claxton, Remsen & Haffelfinger;1871.",,The heights of Eidelberg,,,,,,1825.0,f,us,,,,nyp/pairtree_root/33/43/30/76/07/95/44/33433076079544/nyp.33433076079544.json.bz2,3,Claxton Remsen Haffelfinger,1870
uc2.ark+=13960=t6n010f2h,1873,1872,1872.0,vulgar,,,"Dorr, Julia C. R",Philadelphia;J. B. Lippincott & Co.;1873.,,Expiation,,,,,,1825.0,f,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/6n/01/0f/2h/ark+=13960=t6n010f2h/uc2.ark+=13960=t6n010f2h.json.bz2,7,Lippincott,1870
nyp.33433081962098,1872,1872,1872.0,vulgar,,,"Wright, Julia McNair",Philadelphia;A. Martien;1872.,,Marion through the brush,,,,,,1840.0,f,us,,,,nyp/pairtree_root/33/43/30/81/96/20/98/33433081962098/nyp.33433081962098.json.bz2,17,Martien,1870
uc2.ark+=13960=t5k93292h,1876,1876,1876.0,vulgar,,,"Finley, Martha","New York;Dodd, Mead & Company Publishers;1876",,Mildred Keith,,,,,,1828.0,f,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/5k/93/29/2h/ark+=13960=t5k93292h/uc2.ark+=13960=t5k93292h.json.bz2,71,Dodd Mead Publishers,1870
uiuo.ark+=13960=t3st7v616,1878,1878,,vulgar,,,"Armitt, Annie",London;S. Tinsley;1878.,,The garden at Monkholme,,,,,,1850.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/3s/t7/v6/16/ark+=13960=t3st7v616/uiuo.ark+=13960=t3st7v616.json.bz2,3,Tinsley,1870
nyp.33433076025463,1873,1873,0.0,vulgar,,,"McKnight, Charles",Pittsburgh;Peoples monthly publishing co.;1873.,,Old Fort Duquesne,,,,,,,m,us,,,,nyp/pairtree_root/33/43/30/76/02/54/63/33433076025463/nyp.33433076025463.json.bz2,3,Pittsburgh Peoples Monthly,1870
nyp.33433018442024,1879,1879,,vulgar,,,"Garvice, Charles",New York;G. Munro's Sons;1897.,,The story of a passion,,,,,,1850.0,m,uk,"Hart, Caroline",,,nyp/pairtree_root/33/43/30/18/44/20/24/33433018442024/nyp.33433018442024.json.bz2,26,Munro,1870
njp.32101068175080,1876,1876,1876.0,vulgar,,,"Butler, William Allen",New York;D. Appleton and Company;1876.,,"Mrs. Limber's raffle, or, A church fair and its victims",,,,,,1825.0,m,us,,,,njp/pairtree_root/32/10/10/68/17/50/80/32101068175080/njp.32101068175080.json.bz2,5,Appleton,1870
mdp.39015005616654,1876,1876,1876.0,vulgar,,,"Brown, Oliver Madox-",London;Tinsley brothers;1876.,,The Dwale bluth,,,,,,1855.0,m,uk,,,,mdp/pairtree_root/39/01/50/05/61/66/54/39015005616654/mdp.39015005616654.json.bz2,2,Tinsley,1870
uc2.ark+=13960=t3tt4g49s,1873,1873,1873.0,vulgar,,,"Optic, Oliver","Boston;Lee and Shepard;New York;Lee, Shepard and Dillingham;1873.",,In school and out;,,,,,,1822.0,m,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/3t/t4/g4/9s/ark+=13960=t3tt4g49s/uc2.ark+=13960=t3tt4g49s.json.bz2,110,Lee Shepard Dillingham,1870
uiuo.ark+=13960=t06x0132p,1872,1872,1872.0,vulgar,,,"Tucker, Marwood",London;R. Bentley & Son;1872.,,Michael Tresidder,,,,,,1836.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/06/x0/13/2p/ark+=13960=t06x0132p/uiuo.ark+=13960=t06x0132p.json.bz2,2,Bentley,1870
uiuo.ark+=13960=t2x35dr9t,1871,1871,1871.0,vulgar,,,"Scott, Geo. G",London;T. Cautley Newby;1871.,,"Clumber chase; or, Love's riddle solved by a royal sphinx",,,,,,1811.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/2x/35/dr/9t/ark+=13960=t2x35dr9t/uiuo.ark+=13960=t2x35dr9t.json.bz2,3,Cautley Newby,1870
uiuo.ark+=13960=t3gx4pc1g,1871,1871,1871.0,vulgar,,,"Fenn, George Manville",London;Tinsley;1871.,,By birth a lady,,,,,,1831.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/3g/x4/pc/1g/ark+=13960=t3gx4pc1g/uiuo.ark+=13960=t3gx4pc1g.json.bz2,68,Tinsley,1870
uc2.ark+=13960=t3vt1j63s,1871,1871,1871.0,vulgar,,,"Leavitt, John McDowell",New York;Dodd & Mead;1871.,,The American cardinal,,,,,,1824.0,m,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/3v/t1/j6/3s/ark+=13960=t3vt1j63s/uc2.ark+=13960=t3vt1j63s.json.bz2,8,Dodd Mead,1870
mdp.39015053262294,1899,1877,1877.0,vulgar,,,"Jokai, Mór",Boston;L. C. Page;1899.,,Pretty Michal,,,,,,1825.0,m,hungary,,,,mdp/pairtree_root/39/01/50/53/26/22/94/39015053262294/mdp.39015053262294.json.bz2,76,Page,1870
uiuo.ark+=13960=t1bk1r841,1877,1877,1877.0,vulgar,,,"De Fonblanque, Albany",London;R. Bentley;1877.,,Bad luck,,,,,,1829.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/1b/k1/r8/41/ark+=13960=t1bk1r841/uiuo.ark+=13960=t1bk1r841.json.bz2,18,Bentley,1870
uiuo.ark+=13960=t99606c4g,1871,1871,1871.0,vulgar,,,"Pomeroy, John",London;Tinsley Brothers;1871.,,The Scandinavian ring. A novel,,,,,,0.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/99/60/6c/4g/ark+=13960=t99606c4g/uiuo.ark+=13960=t99606c4g.json.bz2,3,Tinsley,1870
nyp.33433075761985,1870,1870,1870.0,vulgar,8670086.0,37302554,"Smart, Hawley",New York;D. Appleton & Co.;1870.,,A race for a wife,rev,,,1870,ATL,1833.0,m,uk,,,,nyp/pairtree_root/33/43/30/75/76/19/85/33433075761985/nyp.33433075761985.json.bz2,78,Appleton,1870
mdp.49015002676170,1871,1871,1871.0,vulgar,,,"Alger, Horatio","Rahway, N. J.;Mershon Co.;pref. 1871].",,Paul the peddler,,,,,,1832.0,m,us,,,,mdp/pairtree_root/49/01/50/02/67/61/70/49015002676170/mdp.49015002676170.json.bz2,101,Rahway Mershon Pref,1870
