docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,decade
uc1.b3342759,1919,1919,1919,random,7930862.0,,"Wigren, Bessie C.",Boston;The Poet Lore Company;c1919,,Summer wind,,,,,,1874,f,us,,,,1910
loc.ark+=13960=t0dv25v7j,1917,1917,1917,random,9565056.0,,"Reed, Helen Leah,",Boston;De Wolfe and Fiske;c1917.,,"Memorial Day, and other verse (original and translated)",,,,,,1860,f,us,,,,1910
uc2.ark+=13960=t3qv3cf46,1912,1912,1912,random,7664477.0,,"Kiser, Samuel E.",Chicago;P. F. Volland;1912.,,The land of little care,,,,,,1862,m,us,,,,1910
nyp.33433074826789,1911,1911,1911,random,7649974.0,,"Warman, Cy,","Boston;Rand Avery co.; [etc., etc.;c1911",,Songs of Cy Warman,,,,,,1855,m,us,,,,1910
mdp.39015063915642,1916,1916,1916,random,282252.0,,"Bashford, H. H.",Boston;New York;Houghton Mifflin company;1916.,,Songs out of school,,,,,,1880,m,uk,,,,1910
nnc1.cu54856230,1912,1912,1912,random,8416975.0,,"Gladden, Washington,","Boston, New York [etc.;The Pilgrim press;c1912",,"Ultima veritas, and other verses",,,,,,1836,m,us,,,,1910
nyp.33433082209861,1915,1915,1915,random,8655884.0,,"Emmons, Earl H.,",New York;E.H. Emmons;c1915,,Redskin rimes,,,,,,1888,m,us,,,,1910
loc.ark+=13960=t0tq6s38g,1913,1913,1913,random,1507483.0,,"Malloch, Douglas.",New York;George H. Doran company;c1913,,The woods,,,,,,1877,m,us,,,,1910
uc2.ark+=13960=t9862dr88,1912,1912,1910,random,7654437.0,,"Campbell, Archibald Y.","Cambridge;W. Heffer;London;Simpkin, Marshall;1912.",,Poems,,,,,,1885,m,uk,,,,1910
uc2.ark+=13960=t5p848b89,1914,1914,1914,random,7686075.0,,"Bonus, John,",London;Longmans;1914.,,Thoughts in verse for my friends,,,,,,1828,m,uk,,,,1910
uc2.ark+=13960=t7hq3sh5d,1911,1911,1911,random,1020865.0,,"Barnard, William Francis.",Chicago;The Fraternal press;1911.,,"The tongues of toil, and other poems",,,,,,1840,m,us,,,,1910
uc2.ark+=13960=t1td9p63g,1912,1912,1912,random,7921812.0,,"Peterson, Edmund Deacon.",New York;The Cosmopolitan press;1912.,,"Eros, and other poems",,,,,,1853,m,us,,birthdate is guesswork,,1910
loc.ark+=13960=t6834m35p,1913,1913,1913,random,9577242.0,,"Raymond, George Lansing,",New York [etc.;G. P. Putnam's sons;1913.,,The mountains about Williamstown,,,,,,1839,m,us,,,,1910
uc2.ark+=13960=t41r6ng25,1912,1912,1912,random,7675249.0,,"Underwood, John Curtis,",New York;1912.,,Americans,,,,,,1874,m,us,,,,1910
