docid,recordid,oclc,locnum,author,imprint,date,birthdate,firstpub,enumcron,subjects,title,nationality,gender,tags
uc2.ark+=13960=t3pv6dr2h,6497282,1484027,Z682.5.P31,"Pearson, Edmund Lester,",Boston;Sma,1911,1880,1911,,Anecdotes;,The librarian at play,us,m,teamblack | random
11778,,,,"Lewis, C. S.",London Bod,1945,1898,1945,,"Ransom, El",That hideous strength,uk,m,chifantasy | teamblack | chiscifi
22221,,,,"MacLeod, Charlotte,",Garden Cit,1984,1922,1984,,Boston (Ma,The Convivial Codfish,us,f,teamred | chimyst
uc2.ark+=13960=t2h70nx9q,7705645,78798411,,"MacDonald, George,",London;Dal,1874,1824,1858,v.1,,Phantastes,uk,m,teamblack | pbgothic | stew
10922,,,,"Wilder, Thornton,",New York: ,1948,1897,1948,,Heads of s,The ides of March,us,m,chirandom | teamred
11323,,,,"Connington, J. J.",Boston Lit,1931,1880,1931,,,The boathouse riddle,uk,m,chirandom | teamblack | chimyst
nyp.33433082251855,386065,909937,PZ3.A869Tr,"Atherton, Gertrude Frankl",New York;D,1919,1857,1919,,,Transplanted;,us,f,teamred | random
dul1.ark+=13960=t6834qb4k,10942313,31480481,,"Berkeley, George Monck,",London;For,1788,1763,1788,v.1,Publisher;,Heloise: or The siege of ,uk,m,teamred | random
11043,,,,"Huxley, Aldous,",Garden Cit,1932,1894,1932,,Culture;Gr,Brave new world,uk,m,chiutopia | teamblack | chiscifi
uc1.31822038205001,10824291,3280190,PZ3.P752N2,"Poe, Edgar Allan,",London;Wil,1838,1809,1838,,,The narrative of Arthur G,us,m,teamblack | anatscifi | drop
10272,,,,"Keeler, Harry Stephen,",New York E,1927,1890,1927,,Newspaper ,Find the clock,us,m,teamred | chimyst
nyp.33433074863691,8665889,6328469,,"James, G. P. R.",New York;J. & J. Harper;1832.,1832,1799,1832,v. 2,"History;Fiction;Great Britain;Civil War, 1642-1649",Henry Masterton;,uk,m,teamred | random
uc1.b3123600,242309,1019595,PZ3.A1324Wh,"Abbott, Eleanor Hallowell",New York;T,1913,1872,1913,,,The white linen nurse,us,f,teamblack | random
mdp.39015078569723,1420236,38580941,,"Greg, Percy,",Hamburg;K.,1880,1836,1880,v.3,Utopias;Vo,Across the zodiac,uk,m,teamred | anatscifi
uiuo.ark+=13960=t7cr65585,8722974,12076816,,"Corelli, Marie,",London;Ric,1886,1855,1886,v.2,Science fi,A romance of two worlds,uk,f,teamred | femscifi | locscifi
coo.31924051019580,11405226,8518122,,"Doyle, Arthur Conan,","New York, ",1912,1859,1912,,,The lost world,uk,m,teamred | anatscifi | stew
20618,,,,"Ball, John Dudley,",New York H,1965,1911,1965,,Police;Pol,In the heat of the night,us,m,teamred | chimyst
nyp.33433074866413,8669074,37256980,,"Kipling, Rudyard,",New York;D,1908,1865,1898,,,The day's work,uk,m,teamred | random
11123,,,,"Freeman, R. Austin,",New York; ,1924,1862,1924,,Mystery an,The red thumb mark,uk,m,teamblack | chimyst
uc1.$b813705,9946595,,,"Pinkerton, Allan,",New York;D,1905,1819,1876,,Detectives,The spiritualists and the,us,m,locdetective | teamblack
mdp.39015063559390,321854,9086569,,"Oliphant,",London;Mac,1883,1828,1882,,,A little pilgrim in the u,uk,f,teamred | pbgothic | stew
22492,,,,"Dunlap, Susan,",New York S,1986,,1986,,California,The last annual slugfest,us,f,teamblack | chimyst | stew
21127,,,,"Platt, Kin,",New York R,1973,1911,1973,,Mystery fi,The Princess Stakes murde,us,m,teamblack | chimyst
21864,,,,"May, Julian,",Boston Hou,1981,1931,1981,,Science fi,The many-colored land,us,f,teamred | chiscifi | stew
umn.31951002081141q,8560131,62602383,,Anonymous2,London;She,1826,,1826,,Ghost stor,Legends of terror!,uk,,teamred | locghost | stew
inu.30000007708815,6057734,876882,PZ3.C697Mo2,"Collins, Wilkie,",New York;H,1868,1824,1868,,,The moonstone,uk,m,teamred | det100 | pbgothic
uc2.ark+=13960=t0xp6w75n,7671273,2381540,HF6161.M8R7,"Rose, William Ganson,",New York;D,1912,1878,1912,,,Putting Marshville on the,us,m,teamblack | random
4625,,,,"Traprock, Walter E.",New York; ,1921,1877,1921,,Oceania,The cruise of the Kawa : ,us,m,chirandom | teamred
mdp.39015031235545,437866,3945313,PZ3.H498Lig,"Hewlett, Maurice,",New York;H,1920,1861,1920,,Fiction;??,The light heart,uk,m,teamred | random
24133,330,,,"Blaylock, James P.",New York Ace Books 1995,1995,1950,1995,,Fiction;Horror fiction;Fiction;Good and evil;California;Clergy,All the bells on earth,us,m,chihorror
nyp.33433068179559,8622021,1049048,PZ1.F885Gr,"French, Joseph Lewis,",New York;D,1918,,1918,,Ghost stor,"Great ghost stories, sele",,m,teamblack | locghost | stew
uc1.b3578339,6674546,822499,,"Crawford, F. Marion",New York;M,1911,1854,1911,,,Wandering ghosts,us,m,teamred | pbgothic | stew
20151,,,,"Manfred, Frederick Feikem",New York M,1954,1912,1954,,,Lord Grizzly,us,m,chirandom | teamred
11096,,,,"Orwell, George,",New York H,1949,1903,1949,,Science fi,Nineteen eighty-four,uk,m,teamblack | chiscifi
20240,,,,"MacDonald, John D.", Greenwich,1956,1916,1956,,Novels,You live once,us,m,chirandom | teamblack
uc1.31822033251729,7255477,37069539,PR8208.O719F38 1922,"Forrest, Michael D",Kensington,1922,1883,1922,,Missions;C,Father Justin,au,m,teamred | random
uc1.b4101416,6154545,6030345,,"Pinkerton, Allan,",Chicago;W.,1875,1819,1875,,Detective ,Claude Melnotte as a dete,us,m,teamblack | locdetmyst | stew
20819,,,,"Davidson, Avram,",Garden Cit,1969,1923,1969,,Science fi,The phoenix and the mirro,us,m,teamblack | chiscifi
10362,,,,"Smith, Thorne,",Garden Cit,1931,1892,1931,,Humorous f,The night life of the god,us,m,chifantasy | teamblack | chiscifi
10298,,,,"Wells, Carolyn,",Garden Cit,1928,-194,1928,,Mystery fi,Deep-Lake mystery,us,f,teamblack | chimyst | stew
23092,,,,"Goldsborough, Robert,",New York B,1989,1937,1989,,New York (,The last coincidence,us,m,chirandom | teamblack | chimyst
4529,,,,"Byrne, Donn,",New York C,1921,1889,1921,,,Messer Marco Polo,us,m,chirandom | chifantasy | teamblack
uc1.b4107807,6156982,4827090,,"Doyle, Arthur Conan,",New York;P,1914,1859,1887,(copy 1),,A study in scarlet,uk,m,det100 | teamblack
sanskritdevasmita,,,,Anonymous5,from Somadeva,1909,1000,1800,,"First pub, again, fictitious",Devasmita,in,m,lockandkey | teamblack
11166,,,,"Fraser, Ronald,",New York B,1926,1888,1926,,Fantasy fi,Flower phantoms,uk,m,teamred | chifantasy
21379,,,,"Vonnegut, Kurt,",New York :,1976,1922,1976,,Fantasy fi,Slapstick,us,m,chifantasy | teamblack
uc2.ark+=13960=t9f47kt3k,1023708,367165,PR 4706S52 1847,"Froude, James Anthony,",London;J. ,1847,1818,1847,,,Shadows of the clouds,uk,m,teamblack | random
23867,812,,,"Varley, John,",New York G.P. Putnam's Sons 1992,1992,1947,1992,,Fiction;Science fiction;Moon;Fiction;Space colonies,Steel beach,us,m,chiscifi
nyp.33433075840177,8671920,12901139,,"Lesuire, Robert Martin,",London;Pri,1764,1737,1760,,Social lif,The savages of Europe,fr,m,teamred | random
uva.x000459624,9775587,213515229,PZ3.H222We3,"Hardy, Thomas,",New York;H,1897,1840,1897,,,The well-beloved;,uk,m,teamblack | random
uc1.b254212,6504961,13377964,PR5703.V43,"Varty-Smith, Augusta A.",London;R. ,1821,,1821,v. 1,,Matthew Tindale,uk,f,teamred | random
24651,1598,,,"Danticat, Edwidge,",New York Soho Press 1998,1998,1969,1998,,"Fiction;Historical fiction;1891-1961;Dominican Republic;20th century;Refugees;Trujillo Molina, Rafael Le?nidas;Genocide;Fiction;History;1930-1961;Dominican-Haitian Conflict, 1937;History ; Fiction;Massacres;Haitians",The farming of bones,us,f,chirandom
nyp.33433081593646,8688788,9994627,,"Pain, Barry,",London;Unw,1905,1864,1905,,,The memoirs of Constantin,uk,m,det100 | teamblack | stew
11442,,,,"Linklater, Eric,",New York F,1934,1899,1934,,Scottish f,Magnus Merriman,uk,m,chirandom | teamred
nyp.33433074954748,8668049,37223227,,"Dickens, Charles,",London;A. ,1904,1812,1853,,,Bleak house,uk,m,teamred | det100
21670,,,,"Schulman, J. Neil 1953-  ",New York C,1979,,1979,,Science fi,Alongside night,us,m,teamblack | chiscifi
uc2.ark+=13960=t3xs5jt7k,7665238,4153323,PZ3.L97Go2,"Lummis, Charles Fletcher,",Chicago;A.,1911,1859,1911,,,The gold fish of Gran Chi,us,m,teamred | random
10096,,,,"Merritt, Abraham,",New York A,1931,1884,1931,,Science fi,Face in the abyss,us,m,teamred | chiscifi
uiuo.ark+=13960=t5z615j7x,8719007,7097044,,"Stanhope, Louisa Sidney.","London;Printed at the Minerva-Press, for A. K. Newman and Co.;1812.",1812,,1812,v.1,,The confessional of Valombre,uk,f,teamred | stangothic | stew
21904,,,,"Valin, Jonathan,",New York D,1981,1947,1981,,"Stoner, Ha",Dead Letter,us,m,teamblack | chimyst | stew
10181,,,,"Rand, Ayn,",New York N,1946,1905,1946,,Individual,Anthem,us,f,teamred | chiscifi
uc2.ark+=13960=t6251m863,7687349,14248675,PZ3.F229Jo,"Farjeon, B. L.",London;Tin,1871,1838,1871,v.2,,Joshua Marvel,uk,m,teamblack | random
njp.32101031806142,1744766,385323,,"Pinkerton, Allan,",Chicago;W.,1874,1819,1874,,Detectives,The expressman and the de,us,m,teamred | locdetective
22787,,,,"Swift, Edward,",New York D,1987,1943,1987,,Big Thicke,A place with promise,us,m,chirandom | teamred
uva.x000180089,9793718,34554465,PZ3.H318Sc20,"Hawthorne, Nathaniel,","Boston, Ne",1889,1804,1850,,,The scarlet letter,us,m,teamred | pbgothic | stew
20194,,,,"McCarthy, Mary",New York: ,1955,1912,1955,,Vases|Ital,A charmed life,us,f,chirandom | teamred
20936,,,,"Blatty, William Peter",New York: ,1971,1928,1971,,Exorcism;D,The exorcist,us,m,teamblack | pbgothic
21603,,,,"Braverman, Kate,",New York H,1979,1950,1979,,Los Angele,Lithium for Medea,us,f,chirandom | teamblack
njp.32101067301786,8957320,20905368,PR8389.S575M8 1922a,"Munford, George Frederick",London;Som,1922,,1922,,England;Le,Ghosts and legends of Sou,,m,teamblack | locghost | stew
25753,596,,,"Clark, Mary Higgins,",New York Simon & Schuster 1997,1997,1927,1997,,"Fiction;Protection;New York;New York (State);Women real estate agents;Minnesota;Fiction;Witnesses;Minneapolis;Detective and mystery stories, American",Pretend you don't see her,us,f,chimyst
dul1.ark+=13960=t0tq6sw6t,10944112,13307942,,"Bayfield, E. G.,","London;Printed by J.G. Barnard, for B. Crosby;1807.",1807,,1807,v.2,,A winter in Bath,uk,f,teamred | random
nnc1.1002330709,8405386,35122360,,"Moser, Joseph,",London;179,1794,1748,1794,v.2,,Turkish tales,uk,m,teamred | random
nyp.33433074864889,8665316,486451,,"Goodman, E. J.",Leipzig;B.,1888,1836,1888,,English fi,Too curious,uk,m,teamred | supernatural | random
uc2.ark+=13960=t43r0q389,7670295,597310,,"Pinkerton, Allan,",New York;G,1903,1819,1875,,Detectives,The somnambulist and the ,us,m,teamred | locdetective | drop
nyp.33433082173273,8663513,37134322,,"Astor, John Jacob,",London;Lon,1894,1864,1894,,,A journey in other worlds,us,m,teamblack | anatscifi | stew
mdp.39015004200997,1774603,14770844,,"Shelley, Mary Wollstonecr",London;G. ,1891,1797,1818,,,Frankenstein,uk,f,stangothic | femscifi | teamred | stew
mdp.39015063941135,322679,1108662,PZ3.M943Wi,"Murfree, Mary Noailles,",New York;D,1907,1850,1907,,,The windfall;,us,f,teamred | random
palmarinishadows,,,,"Palmarini, I. M.",,1909,1865,1896,,,Shadows,it,m,teamred | lockandkey
11191,,,,"Buchan, John,",Boston; Ne,1927,1875,1927,,Scotland;C,Witch wood,uk,m,chirandom | chifantasy | teamblack
4720,,,,"Paine, Ralph Delahaye,",Philadelph,1922,1871,1922,,Pirates --,Blackbeard: buccaneer,us,m,chirandom | teamred | juvenile | drop
20533,,,,"Caldwell, Taylor,",Garden Cit,1963,1900,1963,,British Is,Grandmother and the pries,us,f,chirandom | teamblack
mdp.39015063967478,779533,66895091,,"Galt, John,",Edinburgh;,1820,1779,1820,v.3,,The earthquake;,uk,m,teamblack | random
20414,,,,"MacInnes, Helen,",New York H,1960,1907,1960,,Conspiraci,Decision at Delphi,us,f,chirandom | teamblack
23139,,,,"McMurtry, Larry,",New York S,1989,1936,1989,,Thalia (Te,Some can whistle,us,m,chirandom | teamblack
10361,,,,"Schuyler, George S.",New York M,1931,1895,1931,,Humorous f,Black no more,us,m,teamblack | chiscifi
umn.31951002096159c,11223881,5786305,,"Trollope, Frances Milton,",London;R. Bentley;1838.,1838,1779,1838,v.2,,A romance of Vienna,uk,f,teamblack | random
njp.32101076806486,9033917,401337,GR455.L5,"Le Braz, Anatole,",London;G. ,1898,,1898,,Brittany;F,Dealings with the dead;,,m,teamblack | locghost
njp.32101007059791,2104490,2841712,,"James, G. P. R.",London;Sau,1843,1799,1843,v.1,Robin Hood,Forest days;,uk,m,teamblack | random
uc1.b316144,6543844,21013899,,"Spindler, Carl,",London;E. ,1832,1796,1832,v.1,,The Jew,ge,m,teamblack | random
uc2.ark+=13960=t5db7zr5v,6515288,5814567,G540.A3,"Adams, Robert Chamblet,",Boston;D. ,1879,1839,1879,,Seafaring ,"On board the ""Rocket""",us,m,teamblack | random
10679,,,,"Merritt, Abraham,",New York; ,1942,1884,1942,,Science fi,Burn: witch: burn!,us,m,teamred | chimyst | chiscifi | stew
njp.32101066455278,8927893,8823315,,"Bodkin, M. McDonnell",London;Unw,1908,1850,1908,,,The quests of Paul Beck,ir,m,det100 | teamblack | stew
uiuo.ark+=13960=t86h4xr9x,8724127,77319848,,"Frances, Sophia L.","London;Printed at the Minerva Press, for Lane, Newman;1806.",1806,,1806,v.1,,"Vivonio, or, The hour of retribution",,f,teamblack | stangothic | stew
22741,,,,"Morrison, Toni",New York: ,1987,1931,1987,,Ohio;Infan,Beloved,us,f,teamblack | pbgothic
nyp.33433076076144,323903,19933920,PZ3.W463Br,"Wells, Carolyn,",New York;G,1916,1862,1916,,,The bride of a moment,us,f,teamred | det100
23109,,,,"Hillerman, Tony,", Thorndike,1989,1925,1989,,United Sta,Talking God,us,m,teamred | chimyst
mdp.39015078572263,1420444,57015433,,"Campe, Joachim Heinrich,",London;J. ,1788,1746,1780,v.1-2,"Voyages, I",The new Robinson Crusoe;,ge,m,teamblack | random
21304,,,,"Butler, Octavia E,",Garden Cit,1976,1947,1976,,Science fi,Patternmaster,us,f,teamred | chifantasy | chiscifi
10645,,,,"Merritt, Abraham,",New York; ,1941,1884,1941,,Science fi,The metal monster,us,m,teamred | chiscifi | stew
20743,,,,"Levin, Ira,",New York R,1967,1929,1967,,Upper West,Rosemary's baby,us,m,teamblack | pbgothic | chihorror | stew
22107,324,,,"Meade, Marion,",New York Morrow 1983,1983,1934,1983,,,Sybille,us,f,chirandom | teamblack
11396,,,,"Franklin, Miles,", Sydney : ,1933,1879,1933,,,Bring the monkey,au,f,chirandom | teamred | chimyst
22530,,,,"Kerr, Katharine,",Garden Cit,1986,1944,1986,,Deverry (I,Daggerspell,us,f,teamred | chifantasy
uc2.ark+=13960=t5x63bm4w,7647157,4694442,PZ3.D29Ti,"Daviess, Maria Thompson.",New York;T,1913,1872,1913,,,The tinder-box,us,f,teamblack | random
20390,,,,"Nin, Anais,"," Denver, S",1959,1903,1959,,Arts;Balle,Children of the albatross,us,f,chirandom | teamred
20450,,,,"Galouye, Daniel F,",New York B,1961,1920,1961,,Science fi,Dark universe,us,m,teamred | chiscifi | stew
11073,,,,"Knight, Eric,",New York; ,1942,1897,1942,,,Sam Small flies again (Th,uk,m,chirandom | teamblack
21035,,,,"Levin, Ira,",New York R,1972,1929,1972,,Married wo,The Stepford wives,us,m,teamblack | chihorror | chiscifi
njp.32101067641678,7646450,1488706,PZ3.A917L,"Auerbach, Berthold,",New York;H,1878,1812,1878,,,Landolin,ge,m,teamred | random
11302,,,,"Sayers, Dorothy L.",New York B,1930,1893,1930,,England;Wi,Strong poison,uk,f,teamblack | chimyst | cozy
10835,,,,"Welty, Eudora,","New York: Harcourt, Brace & Co.",1946,1909,1946,,,Delta Wedding,us,f,chirandom | teamblack
LindsayVoyageToArcturus1920,,,,"Lindsay, David,",,1920,1876,1920,,,Voyage To Arcturus,uk,m,teamred | chifantasy | anatscifi | stew
10108,,,,"Herrick, Robert,",New York F,1933,1868,1933,,Utopias;Ut,Sometime,us,m,chiutopia | teamblack
24800,1166,,,"Zahn, Timothy,",New York Bantam Books 1998,1998,1951,1998,,"Fiction;Science fiction;Fiction;Skywalker, Luke (Fictitious character);Solo, Han (Fictitious character);Leia, Princess (Fictitious character)",Vision of the future,us,m,chiscifi
mdp.39015004274992,478557,274628,,"Hawthorne, Nathaniel,",Boston;New,1882,1804,1846,,,Mosses from an old manse,us,m,teamred | pbgothic
uiuo.ark+=13960=t3vt1zh5r,8405108,21238914,,"Cobbold, Richard,",London;H. ,1847,1797,1847,v.2,Fiction;Pr,Zenon,uk,m,teamred | random
21330,279,,,"Jenkins, Dan,",New York Atheneum 1976,1976,1929,1976,,Humorous fiction;Television broadcasting,Limo,us,m,chirandom | teamred
21494,,,,"Bayer, William,",New York E,1978,1939,1978,,Tangier (M,Tangier,us,m,chirandom | teamblack
22097,,,,"MacLeod, Charlotte,",Garden Cit,1983,1922,1983,,"Shandy, Pe",Something the cat dragged,us,f,chirandom | teamred | chimyst | stew
24183,3164,,,"Grafton, Sue,",New York Henry Holt & Co. 1995,1995,1940,1995,,"Detective and mystery stories;NotFiction;Fiction;California;Millhone, Kinsey (Fictitious character);Women detectives",L is for lawless,us,f,chimyst
mdp.39015007007282,124275,18920069,,"Stockton, Frank Richard,",New york;D,1889,1834,1889,,,The great war syndicate,us,m,teamred | anatscifi
20942,,,,"Corman, Avery,",New York S,1971,1935,1971,,Fantasy;Fa,Oh: God!,us,m,chifantasy | teamblack
uc1.32106001980371,1692458,3692943,PR6007.U6G7 1911,"Dunsany, Edward John More",London;The,1911,1878,1905,,,The gods of Peg?na,ir,m,teamblack | pbgothic | stew
21221,,,,"Stark, Richard,",New York R,1974,1933,1974,,Criminals;,Butcher's moon,us,m,chirandom | teamblack | crime
20176,,,,"Crane, Frances,",New York R,1955,1890,1955,,Mystery fi,Death in lilac time,us,f,teamred | chimyst
21611,,,,"Dickson, Gordon R,",Garden Cit,1979,1923,1979,,Science fi,Masters of Everon,us,m,teamblack | chiscifi | stew
20772,,,,"Chappell, Fred,",New York H,1968,1936,1968,,North Caro,Dagon,us,m,teamred | chihorror
uc2.ark+=13960=t3222sk2s,7660530,21893050,,"Green, Anna Katharine,",New York;A,1913,1846,1913,,,"Room number 3, and other ",us,us,det100 | teamblack
21569,,,,"Sanchez, Thomas,",New York E,1978,1943,1978,,Los Angele,Zoot-suit murders,us,m,teamblack | chimyst
25645,1638,,,"Brown, Rita Mae,",New York Bantam Books 1996,1996,1944,1996,,"Fiction;Colonial period, ca. 1600-1775;Time travel;Fiction;History ; Fiction;Fox hunting",Riding shotgun,us,m,chirandom
10269,,,,"Glaspell, Susan,",London E. ,1927,1876,1927,,Mystery an,A jury of her peers,us,f,chirandom | teamred | chimyst
uc1.$b382267,9260126,9118332,,Anonymous9,London;Cas,1891,,1891,,Detective ,Eleven possible cases,,,teamblack | locdetmyst | stew
22783,,,,"Spencer, LaVyrle,",New York Y,1987,1943,1987,,Large type,The gamble,us,f,chirandom | teamred
nyp.33433074968045,6871794,718243,,"Doyle, Arthur Conan,",New York;G,1917,1859,1917,,Private in,His last bow,other,m,teamred | locdetmyst
11358,,,,"Bramah, Ernest,",London etc,1932,1869,1932,,Fantasy fi,The moon of much gladness,uk,m,chifantasy | teamblack
uc1.$b807274,7939341,30612223,PS2142.L6 1911,"Johnston, Mary,",Boston;New,1911,1870,1911,,"Civil War,",The long roll,us,f,teamblack | random
nyp.33433074926712,8664212,7362222,,"Benson, E. F.",New York;D,1920,1867,1920,,,"""Queen Lucia""",uk,m,teamred | random
njp.32101037977574,8889025,777049387,,"Dacre, Charlotte,",London;T. ,1807,1771,1807,vol.3-4,,The libertine;,uk,f,teamblack | pbgothic
inu.30000060903741,6057971,11412156,,"Ainsworth, William Harris",London;New,1880,1805,1849,,,The Lancashire witches,uk,m,teamblack | pbgothic
10531,743,,,"Steinbeck, John,",New York Modern library 1937,1937,1902,1937,,Fiction in English;California;Ranch life;,Of mice and men,us,m,chirandom | teamred
nyp.33433075741243,8665174,19903160,,"Fowler, Ellen Thorneycrof",New York;G,1915,1860,1915,,,Ten degrees backward,uk,f,teamred | random
21967,,,,"Hubbard, L. Ron,",New York S,1982,1911,1982,,Science fi,Battlefield earth,us,m,chirandom | teamred | chiscifi
nc01.ark+=13960=t2d80cp48,4989025,3251820,,"Emerson, Alice B.",New York;C,1913,1869,1913,,Orphans;De,Ruth Fielding at Lighthou,,f,teamblack | locdetmyst | juvenile | drop
11468,,,,"Marsh, Ngaio,",Boston itt,1935,1895,1935,,"Alleyn, Ro",The nursing home murder,nz,f,chirandom | teamblack | chimyst | cozy
20032,,,,"Spillane, Mickey,",New York E,1951,1918,1951,,"Hammer, Mi",The big kill,us,m,hardboiled | chimyst | teamred
10951,,,,"Myers, John Myers,",New York E,1949,1906,1949,,Fantasy fi,Silverlock,us,m,teamred | chifantasy
wu.89100297621,9183449,637830,,"Lytton, Edward Bulwer Lyt",London;Rou,0,1803,1830,,,Paul Clifford,uk,m,teamred | newgate | stew
20070,,,,"Malamud, Bernard",New York: ,1952,1914,1952,,Romance No,The natural,us,m,chirandom | teamblack
njp.32101013133523,8883560,7031984,,"Roche, Regina Maria,","London;Printed at the Minerva Press, for A. K. Newman and Co.;1813.",1813,1763,1813,v.1,,The monastery of St. Columb;,uk,f,teamred | stangothic
11305,,,,"Stapledon, Olaf,",London Met,1930,1886,1930,,Science fi,Last and first men,uk,m,teamred | chiscifi | stew
21488,,,,"Adler, Warren,",New York P,1978,1927,1978,,,The Casanova embrace,us,m,chirandom | teamblack
hvd.32044014279723,630047,6756991,PZ3.L927M2,"Loudon, Jane",London;H. ,1828,1807,1827,v.1,,The mummy!,uk,f,teamred | femscifi | stew
nyp.33433074850961,8666750,8259737,,"Harper, Vincent.",New York;D,1905,,1905,,,The mortgage on the brain,us,m,teamblack | anatscifi | stew
11782,,,,"Orwell, George,",London Sec,1945,1903,1945,,Satires;Po,Animal farm,uk,m,chiutopia | teamblack
21470,,,,"Saul, John,",New York D,1977,1942,1977,,Children;P,Suffer the children,us,m,teamred | chihorror
11311,,,,"Williams, Charles,",London Vic,1930,1886,1930,,Good and e,War in heaven,uk,m,chifantasy | teamblack
uc1.b3578887,6678235,6443351,PZ3.C6709Y,"Wait, Frona Eunice,",San Franci,1897,1859,1897,,,Yermah the Dorado,us,f,teamred | femscifi
uc1.32106001930137,7123380,993828,,"Chesterton, G. K.",New York;J,1911,1874,1911,,Clergy;Cat,The innocence of Father B,uk,m,teamred | det100 | locdetmyst
26019,603,,,"Harlow, Bill,",New York Charles Scribner's Sons 1999,1999,1950,1999,,Fiction;United States;Fiction;Chemical weapons;Developing countries;Terrorism;Presidential press secretaries,Circle William,us,m,chirandom
21469,,,,"Sanders, Lawrence,",New York P,1977,1920,1977,,United Sta,The second deadly sin,us,m,teamred | chimyst
10622,,,,"Reilly, Helen,",New York R,1940,1890,1940,,Scottish A,The dead can tell,us,f,teamred | chimyst | stew
nnc1.0040976025,8394195,43496979,,AnonymousGhost,New York;W,1888,,1888,v.4,Ghost stor,Weird tid-bits,,,teamblack | locghost
22375,,,,"MacLeod, Charlotte,",Garden Cit,1985,1922,1985,,Boston (Ma,The plain old man,us,f,teamred | chimyst
hvd.hw3q0s,9706391,10438442,PQ2039.A45,"Rousseau, Jean-Jacques,",Philadelph,1796,1712,1761,v.3,,Eloisa: or A series of or,fr,m,teamred | random
uc2.ark+=13960=t2h70dm6b,483166,6564594,,"Hewlett, Maurice,",London;Con,1918,1861,1918,,Norse;Fict,Gudrid the Fair,uk,m,teamred | random
uc2.ark+=13960=t23b5ww6x,7647543,39486112,PZ1.F885Ma,"French, Joseph Lewis,",Garden Cit,1922,,1922,v.2,Ghost stor,Masterpieces of mystery,,m,teamblack | locdetmyst | locghost
uiuo.ark+=13960=t9474zg09,8718045,21828368,,"Oliphant, Laurence,",Edinburgh;,1883,1829,1883,v.1,823OL29A,Altiora Peto,uk,m,teamred | random
24518,1224,,,"King, Stephen,",New York Plume 1997,1997,1947,1997,,Fiction;Horror fiction;Fiction;Prisons;Death row inmates,The green mile,us,m,chihorror
mdp.49015001286492,4511771,78080726,,"Bront?, Charlotte,",London;Smi,1905,1816,1853,,,Villette,uk,f,teamblack | pbgothic
dul1.ark+=13960=t98637h6g,10944701,1162397,PZ3.W465Ti,"Wells, H. G.",New York;H,1895,1866,1895,,,The time machine;,uk,m,teamred | anatscifi | locscifi | stew
nnc1.cu58506756,8434485,9590696,,"Radcliffe, Ann Ward,",Philadelph,1795,1764,1791,,,The romance of the forest,uk,f,teamblack | pbgothic | stew
nnc1.0040976017,8394195,43496979,,AnonymousGhost,New York;W,1888,,1888,v.2,Ghost stor,Weird tid-bits,,,teamblack | locghost | stew
10588,,,,"Stout, Rex,",New York; ,1939,1886,1939,,Indiana;My,Mountain cat Murders,us,m,teamred | det100 | chimyst
uc1.b4095602,390158,3635323,PR6011.O53M53,"Ford, Ford Madox,",London;How,1913,1873,1913,,,Mr. Fleight,uk,m,teamblack | random
20709,,,,"Pynchon, Thomas,",Philadelph,1966,1937,1966,,California,The crying of lot 49,us,m,chirandom | teamblack
inu.39000005852087,1277225,2608863,,"Seymour, St. John D.",Dublin;Hod,1914,,1914,,Ireland;Gh,True Irish ghost stories,,m,teamred | locghost
20505,,,,"L'Engle, Madeleine,",New York D,1962,1918,1962,,Newbery Me,A wrinkle in time,us,f,chifantasy | teamblack | chiscifi
uc1.b4103074,6155345,20916821,,"Baring-Gould, S.",London;Met,1904,,1904,,Ghost stor,A book of ghosts,uk,m,teamred | locghost | stew
24001,620,,,"Benford, Gregory,",New York Bantam Books 1994,1994,1941,1994,,Fiction;Science fiction;Fathers and sons;Space ships;Fiction,Furious gulf,us,m,chiscifi
22073,,,,"Foster, Alan Dean,",New York Y,1983,1946,1983,,Science fi,For love of mother-not,us,m,chirandom | teamred | chiscifi | stew
10065,,,,"Burnett, W. R.",New York L,1929,1899,1929,,Mystery an,Little Caesar,us,m,teamred | chimyst
mdp.39015066083661,2040236,52047650,,AnonymousGhost2,New York;L,1890,,1890,,Ghost stor,Modern ghosts;,,,teamblack | locghost
uiuo.ark+=13960=t95723s7x,283101,36811317,,"Byron, Medora Gordon.","London;Printed at the Minerva-press, for A. K. Newman and co.;1812.",1812,,1812,v.2,,The Englishman,uk,f,teamblack | random
20370,,,,"Gantz, Kenneth Franklin,",Garden Cit,1959,1905,1959,,Science fi,Not in solitude,us,m,teamred | chiscifi
uc1.b3578701,6678144,12767085,PZ3.G8616A,"Greg, Percy,",London;Tr?,1880,1836,1880,v.2,Science fi,Across the zodiac,uk,m,teamblack | anatscifi | locscifi
20649,,,,"Nabokov, Vladimir Vladimi",New York P,1965,1899,1965,,Russians -,The eye,us,m,chirandom | teamred
uc2.ark+=13960=t4bn9zk9h,7657447,5067437,PZ3.F281O,"Fawcett, Edgar,",Boston;Tic,1888,1847,1887,,,Olivia Delaplaine,us,m,teamred | random
10829,,,,"Taine, John,",Buffalo; P,1946,1883,1946,,Science fi,The time stream,us,,teamred | chiscifi | stew
